Cellid,x,y,gene,W,H,cX,cY,Aera
0,0,0,COL1A2,5112,2352,2558.0655858247414,1175.6886196346018,11974554
1,2558,1,COL1A2,1,1,2558.0,1.0,1
2,2595,5,COL1A2,1,1,2595.0,5.0,1
3,2922,6,COL1A2,1,1,2922.0,6.0,1
4,2481,17,COL1A2,1,1,2481.0,17.0,1
5,2835,17,COL1A2,1,1,2835.0,17.0,1
6,2495,19,COL1A2,1,1,2495.0,19.0,1
7,2593,18,COL1A2,1,1,2593.0,18.0,1
8,2818,19,COL1A2,1,1,2818.0,19.0,1
9,4476,18,COL1A2,8,7,4479.285714285715,21.857142857142858,28
10,2812,20,COL1A2,1,1,2812.0,20.0,1
11,2547,23,COL1A2,1,1,2547.0,23.0,1
12,2684,23,COL1A2,1,1,2684.0,23.0,1
13,2691,22,COL1A2,1,1,2691.0,22.0,1
14,2655,25,COL1A2,1,1,2655.0,25.0,1
15,3038,24,COL1A2,1,1,3038.0,24.0,1
16,239,27,COL1A2,2,3,239.5,28.0,6
17,3043,26,COL1A2,1,1,3043.0,26.0,1
18,4754,26,COL1A2,1,1,4754.0,26.0,1
19,2424,28,COL1A2,1,1,2424.0,28.0,1
20,3054,28,COL1A2,1,1,3054.0,28.0,1
21,2577,30,COL1A2,1,1,2577.0,30.0,1
22,3040,31,COL1A2,1,1,3040.0,31.0,1
23,3046,31,COL1A2,1,1,3046.0,31.0,1
24,3055,31,COL1A2,1,1,3055.0,31.0,1
25,3058,31,COL1A2,1,1,3058.0,31.0,1
26,2478,34,COL1A2,1,1,2478.0,34.0,1
27,3039,34,COL1A2,1,1,3039.0,34.0,1
28,2453,37,COL1A2,1,1,2453.0,37.0,1
29,740,38,COL1A2,1,2,740.0,38.5,2
30,2371,41,COL1A2,1,1,2371.0,41.0,1
31,2360,49,COL1A2,1,1,2360.0,49.0,1
32,2641,49,COL1A2,1,1,2641.0,49.0,1
33,2364,53,COL1A2,1,1,2364.0,53.0,1
34,2560,53,COL1A2,1,1,2560.0,53.0,1
35,2642,53,COL1A2,1,1,2642.0,53.0,1
36,2532,55,COL1A2,1,1,2532.0,55.0,1
37,2630,56,COL1A2,1,1,2630.0,56.0,1
38,2403,59,COL1A2,2,1,2403.5,59.0,2
39,2826,58,COL1A2,1,1,2826.0,58.0,1
40,76,60,COL1A2,1,1,76.0,60.0,1
41,2618,61,COL1A2,1,1,2618.0,61.0,1
42,2643,61,COL1A2,1,1,2643.0,61.0,1
43,2706,61,COL1A2,1,1,2706.0,61.0,1
44,3004,61,COL1A2,1,1,3004.0,61.0,1
45,2458,63,COL1A2,1,1,2458.0,63.0,1
46,2811,62,COL1A2,1,1,2811.0,62.0,1
47,2447,65,COL1A2,1,1,2447.0,65.0,1
48,2626,64,COL1A2,1,1,2626.0,64.0,1
49,2661,64,COL1A2,1,1,2661.0,64.0,1
50,2419,66,COL1A2,1,1,2419.0,66.0,1
51,464,69,COL1A2,1,1,464.0,69.0,1
52,2629,69,COL1A2,1,1,2629.0,69.0,1
53,2577,70,COL1A2,1,1,2577.0,70.0,1
54,2659,71,COL1A2,1,1,2659.0,71.0,1
55,365,72,COL1A2,1,1,365.0,72.0,1
56,2722,72,COL1A2,1,1,2722.0,72.0,1
57,2817,72,COL1A2,1,1,2817.0,72.0,1
58,2386,74,COL1A2,1,1,2386.0,74.0,1
59,2498,74,COL1A2,1,1,2498.0,74.0,1
60,2395,77,COL1A2,1,1,2395.0,77.0,1
61,2429,76,COL1A2,1,1,2429.0,76.0,1
62,2509,76,COL1A2,1,1,2509.0,76.0,1
63,2572,79,COL1A2,1,1,2572.0,79.0,1
64,2600,79,COL1A2,1,1,2600.0,79.0,1
65,2651,82,COL1A2,1,1,2651.0,82.0,1
66,2826,84,COL1A2,1,1,2826.0,84.0,1
67,2377,86,COL1A2,1,1,2377.0,86.0,1
68,2427,86,COL1A2,1,1,2427.0,86.0,1
69,2656,87,COL1A2,1,1,2656.0,87.0,1
70,2758,87,COL1A2,1,1,2758.0,87.0,1
71,2828,86,COL1A2,1,1,2828.0,86.0,1
72,2831,86,COL1A2,1,1,2831.0,86.0,1
73,2364,89,COL1A2,1,1,2364.0,89.0,1
74,2698,89,COL1A2,1,1,2698.0,89.0,1
75,2704,89,COL1A2,1,1,2704.0,89.0,1
76,2820,89,COL1A2,1,1,2820.0,89.0,1
77,2826,88,COL1A2,1,1,2826.0,88.0,1
78,2831,89,COL1A2,1,1,2831.0,89.0,1
79,2878,89,COL1A2,1,1,2878.0,89.0,1
80,2557,91,COL1A2,1,1,2557.0,91.0,1
81,619,94,COL1A2,1,1,619.0,94.0,1
82,2641,94,COL1A2,1,1,2641.0,94.0,1
83,2652,94,COL1A2,1,1,2652.0,94.0,1
84,2822,95,COL1A2,1,1,2822.0,95.0,1
85,2824,95,COL1A2,1,1,2824.0,95.0,1
86,2503,97,COL1A2,1,1,2503.0,97.0,1
87,2943,97,COL1A2,1,1,2943.0,97.0,1
88,2495,99,COL1A2,1,1,2495.0,99.0,1
89,2640,99,COL1A2,1,1,2640.0,99.0,1
90,2820,99,COL1A2,1,1,2820.0,99.0,1
91,2832,99,COL1A2,1,1,2832.0,99.0,1
