Cellid,x,y,gene,W,H,cX,cY,Aera
0,0,0,IBSP,5112,2352,2555.9218597162135,1176.04356338063,11889642
1,2258,9,IBSP,1,1,2258.0,9.0,1
2,4479,31,IBSP,1,1,4479.0,31.0,1
3,4481,31,IBSP,11,5,4486.476190476191,33.38095238095238,21
4,2028,33,IBSP,2,2,2028.3333333333333,33.666666666666664,3
5,4479,33,IBSP,1,1,4479.0,33.0,1
6,5055,32,IBSP,3,2,5056.0,32.5,4
7,4479,35,IBSP,1,1,4479.0,35.0,1
8,4491,35,IBSP,1,1,4491.0,35.0,1
9,730,37,IBSP,21,18,740.4536585365854,45.53658536585366,205
10,745,37,IBSP,1,1,745.0,37.0,1
11,4488,36,IBSP,1,1,4488.0,36.0,1
12,750,40,IBSP,1,1,750.0,40.0,1
13,752,45,IBSP,1,1,752.0,45.0,1
14,742,54,IBSP,1,1,742.0,54.0,1
15,1370,63,IBSP,1,1,1370.0,63.0,1
16,2407,62,IBSP,1,1,2407.0,62.0,1
17,1161,80,IBSP,1,2,1161.0,80.5,2
18,3985,88,IBSP,5,4,3987.5,89.2,10
19,2130,107,IBSP,1,1,2130.0,107.0,1
20,856,140,IBSP,1,1,856.0,140.0,1
21,3893,148,IBSP,1,1,3893.0,148.0,1
22,618,151,IBSP,1,1,618.0,151.0,1
23,614,152,IBSP,1,1,614.0,152.0,1
24,614,153,IBSP,6,4,616.6111111111111,154.61111111111111,18
25,283,155,IBSP,1,1,283.0,155.0,1
26,736,158,IBSP,1,1,736.0,158.0,1
27,1987,162,IBSP,14,14,1993.6666666666667,168.55855855855856,111
28,3681,162,IBSP,9,8,3684.2413793103447,165.89655172413794,29
29,1987,166,IBSP,1,1,1987.0,166.0,1
30,2002,171,IBSP,1,1,2002.0,171.0,1
31,1289,174,IBSP,7,8,1291.851851851852,178.44444444444446,27
32,1295,174,IBSP,2,2,1295.3333333333333,174.66666666666666,3
33,1288,176,IBSP,1,1,1288.0,176.0,1
34,1288,181,IBSP,1,1,1288.0,181.0,1
35,664,191,IBSP,2,1,664.5,191.0,2
36,1136,196,IBSP,5,2,1138.0,196.375,8
37,940,198,IBSP,1,1,940.0,198.0,1
38,935,198,IBSP,20,25,944.1384083044983,210.4948096885813,289
39,950,198,IBSP,1,1,950.0,198.0,1
40,1453,199,IBSP,5,6,1455.3529411764705,201.7058823529412,17
41,1466,201,IBSP,7,7,1469.40625,204.125,32
42,2271,209,IBSP,1,1,2271.0,209.0,1
43,1425,210,IBSP,7,6,1427.4516129032259,212.38709677419354,31
44,1464,219,IBSP,5,5,1465.9444444444443,220.55555555555554,18
45,1493,218,IBSP,7,7,1496.0625,220.875,32
46,1477,223,IBSP,2,1,1477.5,223.0,2
47,1414,229,IBSP,4,3,1415.4444444444443,229.66666666666666,9
48,1445,229,IBSP,4,3,1446.375,229.875,8
