Cellid,x,y,gene,W,H,cX,cY,Aera
0,0,0,LOX,5112,2352,2558.008549502351,1177.1339725217697,11950988
1,679,8,LOX,1,1,679.0,8.0,1
2,2025,30,LOX,1,1,2025.0,30.0,1
3,737,38,LOX,5,6,738.8666666666667,40.4,15
4,2403,59,LOX,1,1,2403.0,59.0,1
5,3338,59,LOX,2,1,3338.5,59.0,2
6,3340,62,LOX,1,1,3340.0,62.0,1
7,3218,66,LOX,1,1,3218.0,66.0,1
8,1017,68,LOX,1,1,1017.0,68.0,1
9,1042,82,LOX,1,1,1042.0,82.0,1
10,1062,116,LOX,2,2,1062.5,116.5,2
11,3319,138,LOX,1,1,3319.0,138.0,1
12,3100,141,LOX,1,1,3100.0,141.0,1
13,1098,143,LOX,1,1,1098.0,143.0,1
14,3531,147,LOX,1,1,3531.0,147.0,1
15,612,149,LOX,5,6,614.0588235294117,151.2941176470588,17
16,701,148,LOX,1,1,701.0,148.0,1
17,1006,158,LOX,1,1,1006.0,158.0,1
18,1987,162,LOX,8,8,1990.695652173913,166.04347826086956,23
19,1987,164,LOX,1,1,1987.0,164.0,1
20,1290,172,LOX,2,2,1290.3333333333333,172.66666666666666,3
21,742,182,LOX,1,1,742.0,182.0,1
22,1126,189,LOX,1,2,1126.0,189.5,2
23,1134,190,LOX,1,1,1134.0,190.0,1
24,1135,191,LOX,4,3,1136.5714285714287,191.85714285714286,7
25,1132,192,LOX,1,1,1132.0,192.0,1
26,935,202,LOX,6,6,936.9166666666666,204.83333333333334,12
27,3608,205,LOX,1,1,3608.0,205.0,1
28,948,207,LOX,3,3,949.0,207.71428571428572,7
29,282,215,LOX,4,4,283.3333333333333,216.41666666666666,12
30,1107,224,LOX,1,2,1107.0,224.5,2
31,2517,231,LOX,1,1,2517.0,231.0,1
32,18,232,LOX,22,13,27.272727272727273,238.3838383838384,99
33,8,235,LOX,2,2,8.5,235.5,2
34,72,235,LOX,2,1,72.5,235.0,2
35,74,235,LOX,159,34,162.24010914051843,250.87039563437926,2199
36,11,236,LOX,4,5,12.416666666666666,237.66666666666666,12
37,34,236,LOX,1,1,34.0,236.0,1
38,42,236,LOX,1,1,42.0,236.0,1
39,44,237,LOX,3,2,45.0,237.33333333333334,3
40,47,236,LOX,18,12,54.76923076923077,241.44230769230768,104
41,59,236,LOX,1,1,59.0,236.0,1
42,61,237,LOX,12,12,67.3953488372093,241.7906976744186,43
43,73,238,LOX,1,1,73.0,238.0,1
44,276,239,LOX,23,14,286.8975903614458,245.35542168674698,166
45,349,239,LOX,1,1,349.0,239.0,1
46,92,241,LOX,1,1,92.0,241.0,1
47,107,241,LOX,1,1,107.0,241.0,1
48,126,241,LOX,1,1,126.0,241.0,1
49,156,240,LOX,1,1,156.0,240.0,1
50,209,241,LOX,1,1,209.0,241.0,1
51,227,240,LOX,1,1,227.0,240.0,1
52,285,240,LOX,2,1,285.5,240.0,2
53,345,240,LOX,1,1,345.0,240.0,1
54,88,242,LOX,1,1,88.0,242.0,1
55,95,242,LOX,2,1,95.5,242.0,2
56,114,242,LOX,1,1,114.0,242.0,1
57,117,242,LOX,5,3,118.66666666666667,242.83333333333334,6
58,134,242,LOX,2,2,134.33333333333334,242.33333333333334,3
59,143,243,LOX,1,1,143.0,243.0,1
60,145,243,LOX,1,1,145.0,243.0,1
61,164,243,LOX,1,1,164.0,243.0,1
62,168,242,LOX,1,1,168.0,242.0,1
63,344,242,LOX,2,2,344.5,242.5,2
64,411,243,LOX,1,1,411.0,243.0,1
65,3889,243,LOX,11,12,3893.2,249.11111111111111,45
66,48,245,LOX,1,1,48.0,245.0,1
67,72,245,LOX,1,1,72.0,245.0,1
