Cellid,x,y,gene,W,H,cX,cY,Aera
0,0,0,MAX,5112,2352,2556.4886785539925,1175.7428550763752,12001073
1,3218,65,MAX,1,2,3218.0,65.5,2
2,3212,69,MAX,1,1,3212.0,69.0,1
3,1156,77,MAX,1,1,1156.0,77.0,1
4,414,104,MAX,1,1,414.0,104.0,1
5,2990,108,MAX,1,1,2990.0,108.0,1
6,2997,108,MAX,1,2,2997.0,108.5,2
7,2981,110,MAX,1,1,2981.0,110.0,1
8,2986,110,MAX,1,1,2986.0,110.0,1
9,2990,110,MAX,1,2,2990.0,110.5,2
10,2994,110,MAX,1,1,2994.0,110.0,1
11,2996,111,MAX,1,1,2996.0,111.0,1
12,3001,110,MAX,1,1,3001.0,110.0,1
13,2978,112,MAX,5,4,2979.875,113.5,8
14,3002,112,MAX,1,1,3002.0,112.0,1
15,3004,113,MAX,1,1,3004.0,113.0,1
16,2975,115,MAX,4,4,2976.0,116.75,8
17,2999,114,MAX,1,1,2999.0,114.0,1
18,2989,117,MAX,1,1,2989.0,117.0,1
19,2995,116,MAX,1,1,2995.0,116.0,1
20,3009,116,MAX,1,1,3009.0,116.0,1
21,2968,119,MAX,40,39,2979.496855345912,143.70440251572327,159
22,3003,119,MAX,1,1,3003.0,119.0,1
23,2984,121,MAX,2,1,2984.5,121.0,2
24,2983,123,MAX,2,1,2983.5,123.0,2
25,2987,123,MAX,1,1,2987.0,123.0,1
26,2990,122,MAX,3,3,2991.0,122.75,4
27,2994,125,MAX,1,1,2994.0,125.0,1
28,2997,124,MAX,1,1,2997.0,124.0,1
29,2986,126,MAX,1,1,2986.0,126.0,1
30,2990,127,MAX,1,1,2990.0,127.0,1
31,3000,127,MAX,1,1,3000.0,127.0,1
32,3004,126,MAX,1,1,3004.0,126.0,1
33,3014,126,MAX,1,1,3014.0,126.0,1
34,2975,129,MAX,1,1,2975.0,129.0,1
35,2980,128,MAX,1,1,2980.0,128.0,1
36,2982,129,MAX,1,1,2982.0,129.0,1
37,2984,129,MAX,1,2,2984.0,129.5,2
38,2992,128,MAX,1,1,2992.0,128.0,1
39,2997,129,MAX,1,1,2997.0,129.0,1
40,3001,129,MAX,1,1,3001.0,129.0,1
41,3010,129,MAX,1,1,3010.0,129.0,1
42,3014,129,MAX,3,3,3015.0,129.6,5
43,2980,130,MAX,1,1,2980.0,130.0,1
44,2987,130,MAX,1,1,2987.0,130.0,1
45,2990,130,MAX,3,3,2991.0,130.75,4
46,2997,131,MAX,1,1,2997.0,131.0,1
47,2999,130,MAX,1,1,2999.0,130.0,1
48,3003,131,MAX,1,1,3003.0,131.0,1
49,2979,132,MAX,1,1,2979.0,132.0,1
50,2978,133,MAX,5,4,2979.8571428571427,134.57142857142858,7
51,2986,132,MAX,4,3,2987.5,132.83333333333334,6
52,2997,133,MAX,1,1,2997.0,133.0,1
53,3005,132,MAX,1,1,3005.0,132.0,1
54,2985,135,MAX,2,2,2985.5,135.5,2
55,2999,134,MAX,1,1,2999.0,134.0,1
56,3014,134,MAX,2,2,3014.6666666666665,134.33333333333334,3
57,2975,136,MAX,1,1,2975.0,136.0,1
58,2983,137,MAX,1,3,2983.0,138.0,3
59,2988,136,MAX,1,1,2988.0,136.0,1
60,2992,136,MAX,2,2,2992.5,136.5,2
61,3014,137,MAX,3,2,3014.75,137.5,4
62,2980,138,MAX,1,1,2980.0,138.0,1
63,2987,138,MAX,1,1,2987.0,138.0,1
64,2992,139,MAX,1,1,2992.0,139.0,1
65,2994,139,MAX,1,2,2994.0,139.5,2
66,3000,138,MAX,2,2,3000.5,138.5,2
67,2978,140,MAX,1,1,2978.0,140.0,1
68,2981,140,MAX,1,1,2981.0,140.0,1
69,3003,140,MAX,1,1,3003.0,140.0,1
70,3006,141,MAX,1,1,3006.0,141.0,1
71,3013,140,MAX,3,4,3014.0,141.5,4
72,2980,142,MAX,1,1,2980.0,142.0,1
73,2984,143,MAX,1,1,2984.0,143.0,1
74,2986,142,MAX,1,1,2986.0,142.0,1
75,2992,142,MAX,1,1,2992.0,142.0,1
76,2994,142,MAX,1,1,2994.0,142.0,1
77,3000,143,MAX,1,1,3000.0,143.0,1
78,2991,144,MAX,1,1,2991.0,144.0,1
79,3000,145,MAX,1,1,3000.0,145.0,1
80,3013,145,MAX,1,1,3013.0,145.0,1
81,2985,147,MAX,1,1,2985.0,147.0,1
82,3009,146,MAX,3,2,3010.25,146.75,4
83,2984,149,MAX,1,1,2984.0,149.0,1
84,2994,149,MAX,1,1,2994.0,149.0,1
85,2996,148,MAX,1,1,2996.0,148.0,1
86,3007,149,MAX,1,1,3007.0,149.0,1
87,3011,149,MAX,1,1,3011.0,149.0,1
88,2998,153,MAX,1,1,2998.0,153.0,1
89,2994,158,MAX,1,1,2994.0,158.0,1
90,941,205,MAX,1,1,941.0,205.0,1
91,941,207,MAX,1,3,941.0,208.0,3
92,29,233,MAX,1,1,29.0,233.0,1
93,73,235,MAX,1,1,73.0,235.0,1
94,12,236,MAX,3,3,12.8,236.8,5
95,42,236,MAX,1,1,42.0,236.0,1
96,46,237,MAX,1,1,46.0,237.0,1
97,62,236,MAX,1,1,62.0,236.0,1
