Cellid,x,y,gene,W,H,cX,cY,Aera
0,0,0,MAX,5112,2352,2564.903307163186,1178.083032868568,11759837
1,3354,0,MAX,2,1,3354.5,0.0,2
2,3357,0,MAX,1,1,3357.0,0.0,1
3,4085,0,MAX,1,1,4085.0,0.0,1
4,4087,1,MAX,1,1,4087.0,1.0,1
5,4089,0,MAX,17,4,4096.925,0.975,40
6,4109,1,MAX,1,1,4109.0,1.0,1
7,1960,6,MAX,1,1,1960.0,6.0,1
8,4037,10,MAX,5,3,4038.75,11.0,8
9,4480,24,MAX,12,12,4484.77108433735,29.27710843373494,83
10,4488,24,MAX,1,2,4488.0,24.5,2
11,4478,29,MAX,1,1,4478.0,29.0,1
12,4485,35,MAX,3,1,4486.0,35.0,3
13,4489,35,MAX,1,1,4489.0,35.0,1
14,3094,36,MAX,5,4,3095.6,37.733333333333334,15
15,735,39,MAX,12,10,741.1142857142858,43.81428571428572,70
16,1369,39,MAX,1,1,1369.0,39.0,1
17,733,46,MAX,1,1,733.0,46.0,1
18,735,49,MAX,1,1,735.0,49.0,1
19,746,49,MAX,1,1,746.0,49.0,1
20,740,51,MAX,1,1,740.0,51.0,1
21,3059,65,MAX,1,2,3059.0,65.5,2
22,34,68,MAX,1,1,34.0,68.0,1
23,5049,71,MAX,6,5,5051.263157894737,72.52631578947368,19
24,2592,81,MAX,4,3,2593.5,82.2,10
25,855,102,MAX,3,2,856.0,102.5,4
26,4941,115,MAX,1,1,4941.0,115.0,1
27,4943,114,MAX,6,6,4945.2307692307695,117.0,26
28,1065,118,MAX,2,1,1065.5,118.0,2
29,4944,121,MAX,1,1,4944.0,121.0,1
30,4361,127,MAX,1,1,4361.0,127.0,1
31,2984,128,MAX,7,5,2987.0,130.05555555555554,18
32,343,130,MAX,1,1,343.0,130.0,1
33,2988,131,MAX,13,12,2994.1744186046512,136.2325581395349,86
34,4484,131,MAX,11,13,4488.375,138.0,72
35,2984,133,MAX,2,2,2984.5,133.5,2
36,3587,133,MAX,1,1,3587.0,133.0,1
37,4483,133,MAX,1,1,4483.0,133.0,1
38,2987,134,MAX,1,1,2987.0,134.0,1
39,2990,142,MAX,1,1,2990.0,142.0,1
40,2996,143,MAX,1,1,2996.0,143.0,1
41,4483,142,MAX,1,1,4483.0,142.0,1
42,4676,142,MAX,1,2,4676.0,142.5,2
43,2994,144,MAX,1,1,2994.0,144.0,1
44,616,152,MAX,3,3,617.3333333333334,152.83333333333334,6
45,3284,153,MAX,1,1,3284.0,153.0,1
46,1987,161,MAX,15,14,1994.0578512396694,167.12396694214877,121
47,1987,169,MAX,1,1,1987.0,169.0,1
48,1290,171,MAX,1,1,1290.0,171.0,1
49,1288,173,MAX,1,1,1288.0,173.0,1
50,1288,173,MAX,9,8,1292.2173913043478,176.1086956521739,46
51,1298,175,MAX,1,1,1298.0,175.0,1
52,1293,181,MAX,1,1,1293.0,181.0,1
53,1134,188,MAX,7,8,1137.2380952380952,192.04761904761904,21
54,1129,190,MAX,3,3,1130.0,190.83333333333334,6
55,1134,191,MAX,1,1,1134.0,191.0,1
56,1460,192,MAX,1,1,1460.0,192.0,1
57,945,195,MAX,1,1,945.0,195.0,1
58,1458,195,MAX,1,1,1458.0,195.0,1
59,1457,194,MAX,21,21,1467.4142857142858,204.2107142857143,280
60,940,198,MAX,1,1,940.0,198.0,1
61,936,198,MAX,20,19,944.3618421052631,207.89473684210526,152
62,947,201,MAX,1,2,947.0,201.5,2
63,1451,201,MAX,2,4,1451.5,202.5,4
64,1455,205,MAX,1,2,1455.0,205.5,2
65,1425,206,MAX,1,1,1425.0,206.0,1
66,1422,206,MAX,13,14,1427.6896551724137,213.45977011494253,87
67,1431,207,MAX,1,2,1431.0,207.5,2
68,1456,211,MAX,1,1,1456.0,211.0,1
69,1460,212,MAX,1,1,1460.0,212.0,1
70,1469,216,MAX,1,1,1469.0,216.0,1
71,1471,217,MAX,1,1,1471.0,217.0,1
72,1463,219,MAX,1,1,1463.0,219.0,1
73,1499,218,MAX,2,3,1499.3333333333333,219.0,3
74,1490,220,MAX,13,11,1495.1,224.0,50
75,1464,223,MAX,1,1,1464.0,223.0,1
76,1469,222,MAX,1,1,1469.0,222.0,1
77,1471,223,MAX,1,1,1471.0,223.0,1
78,1475,222,MAX,1,1,1475.0,222.0,1
79,1504,223,MAX,1,1,1504.0,223.0,1
80,1458,224,MAX,1,1,1458.0,224.0,1
81,1473,224,MAX,1,1,1473.0,224.0,1
82,1501,224,MAX,2,1,1501.5,224.0,2
83,1109,226,MAX,1,2,1109.0,226.5,2
84,1491,228,MAX,2,2,1491.5,228.5,2
85,1473,230,MAX,1,1,1473.0,230.0,1
86,1477,230,MAX,1,1,1477.0,230.0,1
87,1490,231,MAX,2,2,1490.5,231.5,2
88,1490,231,MAX,18,20,1498.5316455696202,241.79113924050634,158
89,1500,230,MAX,1,1,1500.0,230.0,1
90,1451,232,MAX,2,2,1451.5,232.5,2
91,1476,232,MAX,1,1,1476.0,232.0,1
92,1489,233,MAX,1,1,1489.0,233.0,1
