Cellid,x,y,gene,W,H,cX,cY,Aera
0,0,0,MAX,5112,2352,2565.3566879170326,1179.6948359001713,11768111
1,4479,31,MAX,1,1,4479.0,31.0,1
2,4489,31,MAX,1,2,4489.0,31.5,2
3,4481,32,MAX,7,2,4484.111111111111,32.333333333333336,9
4,137,36,MAX,1,1,137.0,36.0,1
5,1369,39,MAX,1,1,1369.0,39.0,1
6,737,40,MAX,10,9,741.3333333333334,44.023809523809526,42
7,745,47,MAX,1,1,745.0,47.0,1
8,33,69,MAX,2,1,33.5,69.0,2
9,616,152,MAX,3,4,617.2857142857143,153.57142857142858,7
10,1994,167,MAX,3,3,1994.8,168.2,5
11,1290,175,MAX,5,5,1292.25,176.41666666666666,12
12,1137,193,MAX,3,3,1138.0,194.2,5
13,1432,198,MAX,1,1,1432.0,198.0,1
14,937,202,MAX,8,7,940.4,205.37142857142857,35
15,1956,204,MAX,1,1,1956.0,204.0,1
16,948,210,MAX,5,5,950.0,212.4,15
17,954,214,MAX,1,2,954.0,214.5,2
18,1109,226,MAX,1,1,1109.0,226.0,1
19,467,228,MAX,1,1,467.0,228.0,1
20,65,237,MAX,1,1,65.0,237.0,1
21,75,236,MAX,3,3,76.0,237.0,4
22,26,239,MAX,4,3,27.428571428571427,240.14285714285714,7
23,59,241,MAX,4,6,60.42857142857143,243.71428571428572,14
24,122,243,MAX,1,1,122.0,243.0,1
25,124,242,MAX,3,3,124.75,243.0,4
26,142,242,MAX,2,1,142.5,242.0,2
27,184,243,MAX,23,14,193.22346368715083,249.35195530726256,179
28,112,244,MAX,1,1,112.0,244.0,1
29,118,244,MAX,61,23,148.34992887624466,255.5419630156472,703
30,154,245,MAX,1,1,154.0,245.0,1
31,159,245,MAX,1,1,159.0,245.0,1
32,292,245,MAX,1,1,292.0,245.0,1
33,557,245,MAX,1,1,557.0,245.0,1
34,96,246,MAX,1,1,96.0,246.0,1
35,113,246,MAX,1,1,113.0,246.0,1
36,222,246,MAX,1,1,222.0,246.0,1
37,281,246,MAX,2,1,281.5,246.0,2
38,283,247,MAX,4,2,284.8,247.6,5
39,296,247,MAX,2,1,296.5,247.0,2
40,70,248,MAX,1,1,70.0,248.0,1
41,83,249,MAX,3,2,83.8,249.6,5
42,94,249,MAX,4,5,95.7,251.0,10
43,102,248,MAX,15,11,109.08571428571429,253.4857142857143,70
44,217,248,MAX,14,10,223.80434782608697,252.45652173913044,92
45,428,248,MAX,1,1,428.0,248.0,1
46,3894,249,MAX,5,5,3895.6428571428573,250.92857142857142,14
47,77,250,MAX,1,1,77.0,250.0,1
48,209,250,MAX,1,1,209.0,250.0,1
49,423,251,MAX,1,1,423.0,251.0,1
50,83,253,MAX,1,1,83.0,253.0,1
51,99,252,MAX,4,3,100.57142857142857,252.85714285714286,7
52,120,253,MAX,1,1,120.0,253.0,1
53,355,252,MAX,1,1,355.0,252.0,1
54,395,253,MAX,2,1,395.5,253.0,2
55,402,253,MAX,1,1,402.0,253.0,1
56,417,252,MAX,3,1,418.0,252.0,3
57,98,255,MAX,2,2,98.5,255.5,2
58,115,255,MAX,3,3,116.0,256.0,4
59,117,254,MAX,1,1,117.0,254.0,1
60,329,255,MAX,1,1,329.0,255.0,1
61,335,255,MAX,2,1,335.5,255.0,2
62,397,255,MAX,3,2,398.0,255.33333333333334,3
63,402,255,MAX,3,2,403.0,255.33333333333334,3
64,408,255,MAX,2,2,408.5,255.5,2
65,416,254,MAX,8,9,419.1707317073171,258.4390243902439,41
66,3893,254,MAX,1,1,3893.0,254.0,1
67,97,257,MAX,1,1,97.0,257.0,1
68,113,257,MAX,1,1,113.0,257.0,1
69,414,256,MAX,1,2,414.0,256.5,2
70,1045,256,MAX,1,2,1045.0,256.5,2
71,350,258,MAX,7,5,353.375,260.1875,16
72,411,259,MAX,1,1,411.0,259.0,1
73,425,259,MAX,1,1,425.0,259.0,1
74,431,258,MAX,1,1,431.0,258.0,1
75,436,258,MAX,1,1,436.0,258.0,1
76,444,259,MAX,1,1,444.0,259.0,1
77,450,259,MAX,1,1,450.0,259.0,1
78,1600,259,MAX,1,1,1600.0,259.0,1
79,361,260,MAX,1,1,361.0,260.0,1
80,373,261,MAX,1,1,373.0,261.0,1
81,377,261,MAX,1,1,377.0,261.0,1
82,428,260,MAX,1,1,428.0,260.0,1
83,441,261,MAX,7,7,444.15384615384613,263.9230769230769,26
84,452,261,MAX,3,3,453.1666666666667,261.8333333333333,6
85,138,263,MAX,2,2,138.5,263.5,2
86,359,262,MAX,2,1,359.5,262.0,2
87,375,263,MAX,1,1,375.0,263.0,1
88,438,263,MAX,1,1,438.0,263.0,1
89,450,263,MAX,1,1,450.0,263.0,1
90,505,262,MAX,1,1,505.0,262.0,1
91,1131,262,MAX,1,2,1131.0,262.5,2
92,1601,262,MAX,1,1,1601.0,262.0,1
93,129,264,MAX,1,1,129.0,264.0,1
94,379,264,MAX,1,1,379.0,264.0,1
95,435,264,MAX,3,2,436.0,264.6666666666667,3
96,451,265,MAX,1,1,451.0,265.0,1
97,455,265,MAX,1,1,455.0,265.0,1
98,507,265,MAX,1,1,507.0,265.0,1
99,499,265,MAX,23,10,509.575,269.35,80
100,523,265,MAX,1,1,523.0,265.0,1
101,523,264,MAX,93,27,572.8419782870928,277.0060313630881,829
102,540,264,MAX,1,1,540.0,264.0,1
103,565,264,MAX,1,1,565.0,264.0,1
104,576,266,MAX,1,1,576.0,266.0,1
105,160,268,MAX,1,1,160.0,268.0,1
106,417,269,MAX,3,4,417.77777777777777,270.6666666666667,9
107,444,269,MAX,3,1,445.0,269.0,3
108,500,269,MAX,1,1,500.0,269.0,1
109,576,269,MAX,3,4,577.2,270.2,5
110,581,269,MAX,1,1,581.0,269.0,1
111,588,269,MAX,2,1,588.5,269.0,2
112,591,268,MAX,5,5,593.3846153846154,270.0769230769231,13
113,518,270,MAX,1,1,518.0,270.0,1
114,565,271,MAX,1,1,565.0,271.0,1
115,584,271,MAX,5,2,585.8571428571429,271.2857142857143,7
116,624,270,MAX,8,7,627.4285714285714,273.2142857142857,42
117,4753,271,MAX,4,3,4754.5,271.8,10
118,519,273,MAX,1,1,519.0,273.0,1
119,525,272,MAX,1,1,525.0,272.0,1
120,634,272,MAX,18,9,642.4142857142857,275.85714285714283,70
121,1094,272,MAX,1,2,1094.0,272.5,2
122,507,275,MAX,1,1,507.0,275.0,1
123,523,274,MAX,1,1,523.0,274.0,1
124,526,274,MAX,1,1,526.0,274.0,1
125,529,274,MAX,1,1,529.0,274.0,1
126,615,277,MAX,19,7,623.6666666666666,279.85185185185185,81
127,2969,276,MAX,1,1,2969.0,276.0,1
128,534,278,MAX,1,1,534.0,278.0,1
129,636,278,MAX,3,2,637.0,278.5,4
130,612,280,MAX,1,1,612.0,280.0,1
131,534,283,MAX,3,3,535.0,284.0,3
