Cellid,X,Y,W,H,cX,cY,Aera
0,0,0,25869,11264,12966.18371,5641.390903,288871218
1,1163,16,1,1,1163,16,1
2,1165,17,4,4,1166.5,18.5,12
3,2519,16,4,5,2520.461538,18.30769231,13
4,3088,16,13,14,3094.069767,22.19379845,129
5,3873,17,4,4,3874.5,18.5,12
6,3878,16,1,1,3878,16,1
7,5227,17,4,4,5228.5,18.5,12
8,5231,16,1,1,5231,16,1
9,6579,17,4,4,6580.5,18.5,12
10,7928,16,2,1,7928.5,16,2
11,7931,17,6,4,7934.071429,18.35714286,14
12,9287,17,4,4,9288.5,18.5,12
13,9292,16,1,1,9292,16,1
14,10641,17,4,4,10642.5,18.5,12
15,11995,17,4,4,11996.5,18.5,12
16,11999,16,1,1,11999,16,1
17,7928,23,1,1,7928,23,1
18,3088,30,2,2,3088.5,30.5,4
19,3098,31,1,1,3098,31,1
20,3102,31,1,1,3102,31,1
21,10250,32,4,2,10251.5,32.5,8
22,10255,32,1,1,10255,32,1
23,10250,35,1,1,10250,35,1
24,10250,37,5,7,10252.30769,39.5,26
25,10246,38,3,4,10247,39.83333333,6
26,10249,47,1,1,10249,47,1
27,10251,47,1,1,10251,47,1
28,4103,79,12,12,4108.475,84.95,120
29,4117,82,1,1,4117,82,1
30,4118,86,2,2,4118.5,86.5,4
31,2630,88,1,1,2630,88,1
32,2634,88,2,2,2634.666667,88.66666667,3
33,2637,88,1,1,2637,88,1
34,2639,88,1,2,2639,88.5,2
35,2629,91,4,4,2630.6,92.5,10
36,2635,91,1,1,2635,91,1
37,4106,93,2,1,4106.5,93,2
38,4111,92,4,2,4112.5,92.5,4
39,2637,94,1,1,2637,94,1
40,4098,94,2,2,4098.5,94.5,4
41,10576,104,1,1,10576,104,1
42,10579,107,1,1,10579,107,1
43,10581,107,1,1,10581,107,1
44,10579,109,1,1,10579,109,1
45,10579,111,3,1,10580,111,3
46,8617,136,2,2,8617.666667,136.6666667,3
47,8623,136,1,1,8623,136,1
48,11983,136,1,1,11983,136,1
49,8623,139,1,1,8623,139,1
50,11980,138,3,1,11981,138,3
51,11978,140,1,1,11978,140,1
52,8620,143,1,1,8620,143,1
53,11983,142,1,1,11983,142,1
54,1247,225,1,1,1247,225,1
55,1243,226,1,1,1243,226,1
56,1241,230,1,1,1241,230,1
57,3428,265,1,1,3428,265,1
58,4784,265,1,1,4784,265,1
59,4791,265,1,1,4791,265,1
60,6140,264,1,1,6140,264,1
61,6143,264,1,1,6143,264,1
62,7493,264,1,1,7493,264,1
63,8840,264,1,1,8840,264,1
64,8843,264,1,1,8843,264,1
65,3431,266,1,1,3431,266,1
66,6136,266,1,1,6136,266,1
67,10194,266,1,1,10194,266,1
68,721,269,4,4,722.5,270.5,12
69,2075,269,4,4,2076.5,270.5,12
70,3429,268,3,5,3430.222222,270.2222222,9
71,4783,269,3,4,4784.25,270.5,8
72,4788,269,1,1,4788,269,1
73,6136,269,3,3,6136.8,270.2,5
74,7489,269,4,4,7490.5,270.5,12
75,8844,269,3,4,8844.8,270.5,10
76,10197,269,4,4,10198.63636,270.3636364,11
77,11551,268,5,5,11552.64286,270.3571429,14
78,11558,268,2,2,11558.5,268.5,2
79,4791,270,1,1,4791,270,1
80,8840,271,1,1,8840,271,1
81,712,336,2,2,712.5,336.5,4
82,715,336,1,1,715,336,1
83,723,336,1,1,723,336,1
84,726,338,1,1,726,338,1
85,732,338,1,1,732,338,1
86,735,338,1,1,735,338,1
87,714,340,20,18,723.4008439,348.5063291,237
88,713,347,1,1,713,347,1
89,735,354,1,1,735,354,1
90,714,356,1,1,714,356,1
91,716,356,1,1,716,356,1
92,724,362,2,2,724.5,362.5,4
93,730,364,2,2,730.5,364.5,4
94,1016,416,1,1,1016,416,1
95,1023,416,1,1,1023,416,1
96,1006,418,13,9,1011.802326,422.2325581,86
97,1018,418,2,1,1018.5,418,2
98,1022,418,1,1,1022,418,1
99,1002,423,1,1,1002,423,1
100,1019,425,1,1,1019,425,1
101,1017,427,1,1,1017,427,1
102,1014,428,1,1,1014,428,1
103,1752,521,1,1,1752,521,1
104,1755,521,3,3,1756,521.8,5
105,1752,524,1,1,1752,524,1
106,9447,534,9,6,9450.763158,536.8684211,38
107,9453,541,1,1,9453,541,1
108,5512,564,2,2,5512.5,564.5,4
109,5492,571,34,25,5510.024482,583.4821092,531
110,5513,571,1,1,5513,571,1
111,5488,576,1,1,5488,576,1
112,5492,576,1,1,5492,576,1
113,5530,576,2,2,5530.5,576.5,4
114,5492,578,1,1,5492,578,1
115,5490,580,1,1,5490,580,1
116,5534,580,2,2,5534.5,580.5,4
117,5530,582,2,2,5530.5,582.5,4
118,962,584,2,2,962.5,584.5,4
119,966,584,1,1,966,584,1
120,5534,584,2,2,5534.5,584.5,4
121,5527,587,1,1,5527,587,1
122,964,589,1,1,964,589,1
123,966,588,1,1,966,588,1
124,961,591,1,1,961,591,1
125,5534,590,2,2,5534.5,590.5,4
126,5519,597,1,1,5519,597,1
127,5527,597,1,1,5527,597,1
128,5510,598,1,2,5510,598.5,2
129,5516,598,1,1,5516,598,1
130,1379,640,1,1,1379,640,1
131,1382,642,2,2,1382.5,642.5,4
132,1378,646,1,1,1378,646,1
133,5011,692,3,1,5012,692,3
134,5007,694,13,11,5012.568627,698.6666667,102
135,5019,703,1,1,5019,703,1
136,2599,769,1,1,2599,769,1
137,2586,772,9,9,2590.105263,776.2807018,57
138,2599,775,1,1,2599,775,1
139,2587,783,1,1,2587,783,1
140,2591,782,1,1,2591,782,1
141,2595,783,1,1,2595,783,1
142,5884,786,2,2,5884.5,786.5,4
143,5881,789,1,1,5881,789,1
144,1445,856,1,1,1445,856,1
145,1442,859,1,1,1442,859,1
146,1447,859,1,1,1447,859,1
147,1444,863,1,1,1444,863,1
148,1113,864,1,1,1113,864,1
149,1119,864,1,1,1119,864,1
150,2466,865,1,1,2466,865,1
151,2469,864,2,1,2469.5,864,2
152,3828,865,2,2,3828.5,865.5,2
153,5182,864,1,1,5182,864,1
154,6533,865,2,2,6533.5,865.5,2
155,9239,865,1,1,9239,865,1
156,10592,865,1,1,10592,865,1
157,10598,864,1,1,10598,864,1
158,10877,864,1,2,10877,864.5,2
159,11948,865,1,1,11948,865,1
160,1115,866,3,3,1116.2,866.8,5
161,2469,867,2,1,2469.5,867,2
162,3824,866,2,2,3824.5,866.5,4
163,5178,866,2,2,5178.5,866.5,4
164,6531,866,1,2,6531,866.5,2
165,7883,866,3,3,7884.2,866.8,5
166,7887,866,1,1,7887,866,1
167,9237,866,2,2,9237.5,866.5,2
168,10592,867,1,2,10592,867.5,2
169,10594,867,1,1,10594,867,1
170,10596,866,1,1,10596,866,1
