,Cellid,X,Y,W,H,cX,cY,Aera
0,0,0,0,20454,16794,10263.226515745675,8367.42439180769,337962881
1,1,13346,16,5,5,13348.285714285714,18.428571428571427,14
2,2,13351,16,1,1,13351.0,16.0,1
3,3,14701,17,4,4,14702.5,18.5,12
4,4,16055,17,4,4,16056.5,18.5,12
5,5,16060,16,1,1,16060.0,16.0,1
6,6,17409,17,4,4,17410.5,18.5,12
7,7,17414,16,1,1,17414.0,16.0,1
8,8,18763,17,4,4,18764.5,18.5,12
9,9,18767,16,1,1,18767.0,16.0,1
10,10,20115,17,4,4,20116.5,18.5,12
11,11,13346,23,1,1,13346.0,23.0,1
12,12,13351,23,1,1,13351.0,23.0,1
13,13,14676,58,1,1,14676.0,58.0,1
14,14,14682,58,1,1,14682.0,58.0,1
15,15,14684,59,1,1,14684.0,59.0,1
16,16,14687,58,1,1,14687.0,58.0,1
17,17,14679,61,3,3,14680.125,61.875,8
18,18,14676,62,1,1,14676.0,62.0,1
19,19,14738,129,1,1,14738.0,129.0,1
20,20,14739,129,8,6,14742.305555555555,131.77777777777777,36
21,21,14749,131,1,1,14749.0,131.0,1
22,22,14750,134,2,2,14750.5,134.5,2
23,23,14746,140,2,2,14746.5,140.5,4
24,24,19810,227,1,1,19810.0,227.0,1
25,25,19814,227,2,1,19814.5,227.0,2
26,26,19815,231,1,1,19815.0,231.0,1
27,27,12911,265,1,1,12911.0,265.0,1
28,28,14261,265,1,1,14261.0,265.0,1
29,29,14263,264,1,1,14263.0,264.0,1
30,30,15611,264,2,1,15611.5,264.0,2
31,31,15615,264,1,1,15615.0,264.0,1
32,32,16964,265,2,1,16964.5,265.0,2
33,33,14257,266,1,1,14257.0,266.0,1
34,34,15609,266,1,1,15609.0,266.0,1
35,35,19674,266,1,1,19674.0,266.0,1
36,36,19679,267,1,1,19679.0,267.0,1
37,37,12904,269,3,3,12904.8,270.2,5
38,38,15615,269,1,1,15615.0,269.0,1
39,39,18319,269,4,4,18320.5,270.5,12
40,40,19671,269,4,4,19672.363636363636,270.3636363636364,11
41,41,14258,270,2,2,14258.5,270.5,4
42,42,15611,270,3,2,15612.2,270.6,5
43,43,16966,270,2,2,16966.5,270.5,4
44,44,17508,296,1,1,17508.0,296.0,1
45,45,17506,299,1,1,17506.0,299.0,1
46,46,17511,298,1,2,17511.0,298.5,2
47,47,17505,302,5,8,17507.166666666668,305.0833333333333,24
48,48,17511,304,1,1,17511.0,304.0,1
49,49,17511,306,1,1,17511.0,306.0,1
50,50,19430,409,1,1,19430.0,409.0,1
51,51,19423,414,12,11,19428.5,418.8375,80
52,52,19437,417,1,1,19437.0,417.0,1
53,53,19438,419,1,1,19438.0,419.0,1
54,54,19436,422,2,2,19436.5,422.5,4
55,55,12497,552,1,1,12497.0,552.0,1
56,56,12503,552,1,1,12503.0,552.0,1
57,57,12502,552,5,7,12504.375,555.375,16
58,58,12501,554,1,1,12501.0,554.0,1
59,59,12509,555,1,1,12509.0,555.0,1
60,60,12500,556,1,2,12500.0,556.5,2
61,61,12508,557,1,1,12508.0,557.0,1
62,62,12507,559,1,1,12507.0,559.0,1
63,63,20278,591,6,7,20280.56,593.8,25
64,64,20273,592,1,1,20273.0,592.0,1
65,65,20285,593,1,1,20285.0,593.0,1
66,66,20273,594,1,1,20273.0,594.0,1
67,67,20272,597,1,1,20272.0,597.0,1
68,68,20287,596,1,1,20287.0,596.0,1
69,69,20274,600,2,2,20274.5,600.5,4
70,70,20011,605,4,3,20012.666666666668,606.2222222222222,9
71,71,20009,607,1,1,20009.0,607.0,1
72,72,17178,665,1,1,17178.0,665.0,1
73,73,17179,668,5,5,17180.615384615383,670.0,13
74,74,19936,736,1,1,19936.0,736.0,1
75,75,19933,739,4,4,19934.636363636364,740.4545454545455,11
76,76,19941,738,1,1,19941.0,738.0,1
77,77,19929,741,1,1,19929.0,741.0,1
78,78,19939,740,1,1,19939.0,740.0,1
79,79,19932,743,1,1,19932.0,743.0,1
80,80,19939,743,1,1,19939.0,743.0,1
81,81,19942,743,1,1,19942.0,743.0,1
82,82,20109,752,1,1,20109.0,752.0,1
83,83,20111,755,1,1,20111.0,755.0,1
84,84,20104,758,2,2,20104.666666666668,758.3333333333334,3
85,85,13302,865,1,1,13302.0,865.0,1
86,86,14653,865,1,1,14653.0,865.0,1
87,87,14655,864,1,1,14655.0,864.0,1
88,88,16004,864,1,1,16004.0,864.0,1
89,89,17366,864,1,1,17366.0,864.0,1
90,90,18715,864,1,1,18715.0,864.0,1
91,91,19771,864,1,1,19771.0,864.0,1
92,92,13296,866,1,1,13296.0,866.0,1
93,93,13299,867,1,1,13299.0,867.0,1
94,94,14649,866,2,2,14649.5,866.5,2
95,95,14652,867,2,2,14652.666666666666,867.3333333333334,3
96,96,16005,866,2,2,16005.5,866.5,2
97,97,17360,866,2,2,17360.5,866.5,4
98,98,17364,866,1,1,17364.0,866.0,1
99,99,18714,867,1,1,18714.0,867.0,1
100,100,18716,867,1,1,18716.0,867.0,1
101,101,20066,866,2,2,20066.5,866.5,4
102,102,19771,869,5,5,19772.875,870.8125,16
103,103,13298,871,1,1,13298.0,871.0,1
104,104,18713,871,1,1,18713.0,871.0,1
105,105,18715,871,1,1,18715.0,871.0,1
106,106,20068,870,1,1,20068.0,870.0,1
107,107,19768,872,1,1,19768.0,872.0,1
108,108,14855,874,1,1,14855.0,874.0,1
109,109,19768,875,1,1,19768.0,875.0,1
110,110,14854,877,7,6,14857.0,879.4583333333334,24
111,111,14848,879,1,1,14848.0,879.0,1
112,112,14850,879,1,1,14850.0,879.0,1
113,113,14852,881,1,1,14852.0,881.0,1
114,114,14854,883,1,1,14854.0,883.0,1
115,115,14859,883,1,1,14859.0,883.0,1
116,116,14857,886,1,1,14857.0,886.0,1
117,117,14862,886,1,1,14862.0,886.0,1
118,118,16789,897,2,1,16789.5,897.0,2
119,119,16789,901,2,3,16789.75,902.0,4
120,120,16787,903,1,1,16787.0,903.0,1
121,121,17761,906,1,1,17761.0,906.0,1
122,122,17767,907,1,1,17767.0,907.0,1
123,123,17761,909,1,1,17761.0,909.0,1
124,124,17760,911,2,1,17760.5,911.0,2
125,125,17764,910,1,1,17764.0,910.0,1
126,126,17767,911,1,1,17767.0,911.0,1
127,127,19697,928,1,1,19697.0,928.0,1
128,128,19700,929,1,1,19700.0,929.0,1
129,129,19697,931,4,4,19698.5,932.5,12
130,130,17217,932,1,1,17217.0,932.0,1
131,131,17220,932,4,2,17221.8,932.6,5
132,132,19710,936,1,2,19710.0,936.5,2
133,133,20346,936,1,2,20346.0,936.5,2
134,134,20351,937,1,1,20351.0,937.0,1
135,135,19699,938,1,1,19699.0,938.0,1
136,136,19707,939,1,1,19707.0,939.0,1
137,137,20346,939,4,5,20347.266666666666,940.6666666666666,15
138,138,19696,941,5,7,19697.761904761905,944.0952380952381,21
139,139,19704,940,1,2,19704.0,940.5,2
140,140,19704,943,1,1,19704.0,943.0,1
141,141,19708,942,1,1,19708.0,942.0,1
142,142,19689,945,4,9,19690.483870967742,949.1290322580645,31
143,143,19920,944,2,2,19920.5,944.5,4
144,144,19940,944,2,2,19940.5,944.5,4
145,145,19952,944,2,2,19952.5,944.5,4
146,146,20178,944,1,1,20178.0,944.0,1
147,147,20182,944,1,1,20182.0,944.0,1
148,148,20186,944,1,1,20186.0,944.0,1
149,149,19702,946,1,1,19702.0,946.0,1
150,150,20183,946,1,1,20183.0,946.0,1
151,151,19695,949,1,1,19695.0,949.0,1
152,152,19697,950,1,1,19697.0,950.0,1
153,153,19699,950,1,1,19699.0,950.0,1
154,154,19701,950,1,2,19701.0,950.5,2
155,155,19911,951,56,39,19939.898599066044,970.5857238158773,1499
156,156,20180,950,6,4,20182.444444444445,951.2222222222222,18
157,157,19681,952,2,1,19681.5,952.0,2
158,158,19694,953,1,1,19694.0,953.0,1
159,159,19748,952,1,1,19748.0,952.0,1
160,160,19750,953,1,1,19750.0,953.0,1
161,161,19752,953,1,1,19752.0,953.0,1
162,162,19762,952,1,1,19762.0,952.0,1
163,163,19774,952,1,1,19774.0,952.0,1
164,164,19783,953,1,1,19783.0,953.0,1
165,165,19956,953,1,1,19956.0,953.0,1
166,166,19680,955,1,1,19680.0,955.0,1
167,167,19687,954,1,1,19687.0,954.0,1
168,168,19691,955,1,1,19691.0,955.0,1
169,169,19695,955,1,1,19695.0,955.0,1
170,170,19762,955,1,1,19762.0,955.0,1
171,171,19715,954,69,73,19751.028040141675,990.8739669421487,3388
172,172,19783,955,1,1,19783.0,955.0,1
173,173,19756,956,1,1,19756.0,956.0,1
174,174,19673,960,4,4,19674.666666666668,961.3333333333334,9
175,175,19782,961,2,2,19782.5,961.5,2
176,176,19913,961,1,1,19913.0,961.0,1
177,177,19966,963,2,1,19966.5,963.0,2
178,178,19675,967,1,1,19675.0,967.0,1
179,179,19736,967,2,2,19736.5,967.5,2
180,180,19739,968,2,1,19739.5,968.0,2
181,181,20145,968,1,2,20145.0,968.5,2
182,182,20147,968,2,1,20147.5,968.0,2
183,183,20146,968,6,8,20149.619047619046,971.6666666666666,21
184,184,20160,969,1,1,20160.0,969.0,1
185,185,19728,971,1,1,19728.0,971.0,1
186,186,19732,970,1,1,19732.0,970.0,1
187,187,20147,970,1,1,20147.0,970.0,1
188,188,20160,971,16,21,20166.52027027027,982.2364864864865,148
189,189,19908,972,2,2,19908.5,972.5,4
190,190,20167,975,1,1,20167.0,975.0,1
191,191,20169,977,1,1,20169.0,977.0,1
192,192,20174,976,2,2,20174.5,976.5,4
193,193,20167,978,1,1,20167.0,978.0,1
194,194,20171,979,1,1,20171.0,979.0,1
195,195,20175,979,1,1,20175.0,979.0,1
196,196,19914,984,1,1,19914.0,984.0,1
197,197,19916,985,4,4,19917.18181818182,986.7272727272727,11
198,198,19963,985,1,1,19963.0,985.0,1
199,199,19961,987,1,1,19961.0,987.0,1
200,200,19942,989,1,1,19942.0,989.0,1
201,201,19946,989,1,1,19946.0,989.0,1
202,202,20160,989,1,1,20160.0,989.0,1
203,203,19914,991,1,1,19914.0,991.0,1
204,204,19924,991,1,1,19924.0,991.0,1
205,205,19938,990,1,1,19938.0,990.0,1
206,206,19944,990,1,1,19944.0,990.0,1
207,207,19950,990,2,2,19950.5,990.5,2
208,208,19953,990,1,1,19953.0,990.0,1
209,209,19715,992,1,1,19715.0,992.0,1
210,210,19917,993,1,1,19917.0,993.0,1
211,211,19920,992,1,1,19920.0,992.0,1
212,212,19922,993,5,6,19923.68181818182,995.3181818181819,22
213,213,19715,994,1,1,19715.0,994.0,1
214,214,19915,996,1,1,19915.0,996.0,1
215,215,19917,996,1,1,19917.0,996.0,1
216,216,19712,999,1,1,19712.0,999.0,1
217,217,19914,998,6,5,19916.18181818182,1000.0,11
218,218,19927,999,1,1,19927.0,999.0,1
219,219,19715,1001,1,1,19715.0,1001.0,1
220,220,19779,1003,1,1,19779.0,1003.0,1
221,221,20034,1003,1,1,20034.0,1003.0,1
222,222,20039,1003,1,1,20039.0,1003.0,1
223,223,20208,1002,1,2,20208.0,1002.5,2
224,224,19777,1004,1,1,19777.0,1004.0,1
225,225,19912,1004,2,3,19912.666666666668,1005.0,3
226,226,19916,1005,2,1,19916.5,1005.0,2
227,227,20034,1005,1,1,20034.0,1005.0,1
228,228,20211,1004,8,9,20214.444444444445,1007.4444444444445,45
229,229,20222,1005,1,1,20222.0,1005.0,1
230,230,19777,1006,1,1,19777.0,1006.0,1
231,231,20034,1007,3,1,20035.0,1007.0,3
232,232,20039,1007,1,1,20039.0,1007.0,1
233,233,19840,1008,1,1,19840.0,1008.0,1
234,234,19845,1008,1,2,19845.0,1008.5,2
235,235,19712,1012,1,1,19712.0,1012.0,1
236,236,19775,1013,1,1,19775.0,1013.0,1
237,237,20211,1012,1,1,20211.0,1012.0,1
238,238,20218,1013,1,1,20218.0,1013.0,1
239,239,19774,1015,2,1,19774.5,1015.0,2
240,240,19844,1015,1,1,19844.0,1015.0,1
241,241,20222,1015,1,1,20222.0,1015.0,1
242,242,19773,1018,1,1,19773.0,1018.0,1
243,243,19768,1021,2,1,19768.5,1021.0,2
244,244,19740,1022,1,1,19740.0,1022.0,1
245,245,19720,1024,1,1,19720.0,1024.0,1
246,246,19744,1027,1,1,19744.0,1027.0,1
247,247,19751,1026,1,2,19751.0,1026.5,2
248,248,19747,1031,1,1,19747.0,1031.0,1
249,249,17021,1033,2,2,17021.333333333332,1033.6666666666667,3
250,250,17023,1038,1,1,17023.0,1038.0,1
251,251,12282,1089,3,2,12283.25,1089.25,4
252,252,12281,1091,1,1,12281.0,1091.0,1
253,253,19488,1097,1,1,19488.0,1097.0,1
254,254,19493,1097,1,1,19493.0,1097.0,1
255,255,19493,1100,1,1,19493.0,1100.0,1
256,256,19443,1128,1,1,19443.0,1128.0,1
257,257,19445,1128,1,1,19445.0,1128.0,1
258,258,19443,1130,1,1,19443.0,1130.0,1
259,259,19443,1132,1,1,19443.0,1132.0,1
260,260,19445,1132,1,1,19445.0,1132.0,1
261,261,19439,1135,2,2,19439.5,1135.5,2
262,262,19443,1135,1,1,19443.0,1135.0,1
263,263,19434,1137,1,1,19434.0,1137.0,1
264,264,19436,1137,1,1,19436.0,1137.0,1
265,265,19907,1136,24,26,19918.478835978836,1147.2671957671957,378
266,266,19929,1137,1,1,19929.0,1137.0,1
267,267,19439,1138,1,1,19439.0,1138.0,1
268,268,19925,1139,1,1,19925.0,1139.0,1
269,269,19432,1140,1,1,19432.0,1140.0,1
270,270,19434,1141,1,1,19434.0,1141.0,1
271,271,19436,1140,1,1,19436.0,1140.0,1
272,272,19927,1140,1,1,19927.0,1140.0,1
273,273,19930,1140,1,1,19930.0,1140.0,1
274,274,19933,1140,1,1,19933.0,1140.0,1
275,275,19932,1143,2,1,19932.5,1143.0,2
276,276,19417,1145,1,1,19417.0,1145.0,1
277,277,20096,1144,1,1,20096.0,1144.0,1
278,278,20105,1145,1,1,20105.0,1145.0,1
279,279,19419,1146,1,1,19419.0,1146.0,1
280,280,19935,1147,1,1,19935.0,1147.0,1
281,281,20099,1147,1,1,20099.0,1147.0,1
282,282,19419,1148,1,1,19419.0,1148.0,1
283,283,19421,1148,1,2,19421.0,1148.5,2
284,284,19423,1148,1,1,19423.0,1148.0,1
285,285,19931,1148,1,1,19931.0,1148.0,1
286,286,20073,1148,51,47,20098.961484593838,1170.5343137254902,1428
287,287,20104,1148,2,1,20104.5,1148.0,2
288,288,19416,1151,1,1,19416.0,1151.0,1
289,289,19628,1152,2,1,19628.5,1152.0,2
290,290,19642,1153,1,1,19642.0,1153.0,1
291,291,19647,1152,1,1,19647.0,1152.0,1
292,292,19651,1152,1,1,19651.0,1152.0,1
293,293,19930,1152,2,2,19930.666666666668,1152.6666666666667,3
294,294,20086,1153,1,1,20086.0,1153.0,1
295,295,19405,1155,1,1,19405.0,1155.0,1
296,296,19594,1154,50,62,19616.885142255007,1184.5742887249737,1898
297,297,20115,1155,1,1,20115.0,1155.0,1
298,298,19405,1157,2,2,19405.666666666668,1157.6666666666667,3
299,299,19643,1156,3,3,19644.0,1157.0,3
300,300,19646,1156,3,3,19647.0,1157.0,4
301,301,19648,1156,3,5,19649.333333333332,1158.3333333333333,6
302,302,19654,1157,1,1,19654.0,1157.0,1
303,303,19401,1159,1,1,19401.0,1159.0,1
304,304,19640,1159,1,1,19640.0,1159.0,1
305,305,19652,1159,2,1,19652.5,1159.0,2
306,306,19904,1159,2,1,19904.5,1159.0,2
307,307,19919,1159,1,1,19919.0,1159.0,1
308,308,19921,1158,1,1,19921.0,1158.0,1
309,309,20083,1159,1,1,20083.0,1159.0,1
310,310,19398,1161,2,1,19398.5,1161.0,2
311,311,19922,1161,1,1,19922.0,1161.0,1
312,312,19396,1163,1,2,19396.0,1163.5,2
313,313,19646,1162,3,1,19647.0,1162.0,3
314,314,19650,1162,1,1,19650.0,1162.0,1
315,315,19636,1164,1,1,19636.0,1164.0,1
316,316,19639,1165,1,2,19639.0,1165.5,2
317,317,19641,1165,1,3,19641.0,1166.0,3
318,318,19643,1165,1,1,19643.0,1165.0,1
319,319,19646,1164,5,3,19648.0,1164.8333333333333,6
320,320,19634,1167,2,2,19634.5,1167.5,2
321,321,19635,1166,5,6,19636.875,1168.5,8
322,322,19643,1167,3,2,19644.0,1167.3333333333333,3
323,323,19648,1168,2,2,19648.5,1168.5,4
324,324,19638,1171,1,1,19638.0,1171.0,1
325,325,19645,1171,2,1,19645.5,1171.0,2
326,326,19648,1171,2,1,19648.5,1171.0,2
327,327,19646,1173,2,2,19646.666666666668,1173.3333333333333,3
328,328,20124,1172,1,1,20124.0,1172.0,1
329,329,19645,1175,1,1,19645.0,1175.0,1
330,330,19595,1176,1,1,19595.0,1176.0,1
331,331,20073,1177,1,1,20073.0,1177.0,1
332,332,20124,1176,1,1,20124.0,1176.0,1
333,333,20126,1177,1,2,20126.0,1177.5,2
334,334,19645,1178,2,1,19645.5,1178.0,2
335,335,19641,1180,2,2,19641.5,1180.5,2
336,336,19646,1180,1,1,19646.0,1180.0,1
337,337,19640,1183,1,1,19640.0,1183.0,1
338,338,19643,1183,1,1,19643.0,1183.0,1
339,339,20125,1183,1,1,20125.0,1183.0,1
340,340,20080,1188,1,1,20080.0,1188.0,1
341,341,20083,1188,1,1,20083.0,1188.0,1
342,342,20111,1189,1,1,20111.0,1189.0,1
343,343,20102,1191,1,1,20102.0,1191.0,1
344,344,19337,1192,1,1,19337.0,1192.0,1
345,345,19342,1192,1,1,19342.0,1192.0,1
346,346,19337,1194,1,1,19337.0,1194.0,1
347,347,19340,1194,3,3,19341.0,1195.0,3
348,348,19592,1194,1,1,19592.0,1194.0,1
349,349,19593,1197,1,1,19593.0,1197.0,1
350,350,19340,1198,3,4,19341.0,1199.75,8
351,351,19638,1199,1,1,19638.0,1199.0,1
352,352,20084,1198,2,2,20084.5,1198.5,4
353,353,20108,1198,1,1,20108.0,1198.0,1
354,354,19328,1201,1,1,19328.0,1201.0,1
355,355,19332,1201,7,5,19335.083333333332,1202.7083333333333,24
