Cellid,x,y,gene,W,H,cX,cY,Aera
11,4312,371,ACAN,11,10,4316.5142857142855,375.3857142857143,70
21,5227,389,ACAN,11,14,5232.145833333333,394.6666666666667,96
35,4868,424,ACAN,15,10,4873.64,428.64,75
37,4961,430,ACAN,10,8,4964.659090909091,433.97727272727275,44
45,3666,458,ACAN,7,7,3669.277777777778,460.1666666666667,18
47,4276,462,ACAN,8,5,4279.631578947368,464.2105263157895,19
51,250,487,ACAN,9,7,253.775,489.775,40
56,4489,496,ACAN,6,6,4491.538461538462,498.6923076923077,26
57,3405,507,ACAN,5,8,3407.1666666666665,511.0,24
59,5276,507,ACAN,13,8,5281.121212121212,510.8636363636364,66
63,4492,511,ACAN,5,8,4494.25,514.2,20
67,3082,527,ACAN,3,6,3083.090909090909,529.8181818181819,11
68,3526,529,ACAN,7,5,3529.375,530.375,16
72,3638,535,ACAN,12,7,3644.9411764705883,536.8823529411765,34
73,3654,536,ACAN,5,4,3656.1428571428573,537.4285714285714,14
78,5188,546,ACAN,5,4,5190.333333333333,547.2666666666667,15
79,2844,549,ACAN,5,3,2845.7272727272725,550.2727272727273,11
82,3222,551,ACAN,6,6,3224.733333333333,553.6666666666666,15
86,4910,552,ACAN,6,6,4912.75,555.125,16
87,5697,555,ACAN,8,8,5700.75,557.8571428571429,28
88,1140,557,ACAN,6,6,1142.7142857142858,559.8928571428571,28
89,3418,559,ACAN,5,6,3420.0588235294117,561.1764705882352,17
92,5789,561,ACAN,13,14,5794.532110091744,566.9724770642201,109
93,4354,562,ACAN,12,12,4359.682242990654,567.8130841121496,107
94,4525,562,ACAN,16,15,4532.472222222223,568.8555555555556,180
96,5696,562,ACAN,5,3,5698.0,563.0,11
106,5487,571,ACAN,9,5,5490.5625,573.15625,32
107,5819,571,ACAN,8,8,5822.4390243902435,574.170731707317,41
108,5873,573,ACAN,10,8,5877.927272727273,576.0727272727273,55
110,4352,574,ACAN,5,9,4353.545454545455,578.0,33
113,4334,576,ACAN,10,11,4339.613636363636,580.1590909090909,44
115,1131,582,ACAN,7,10,1134.0816326530612,586.6326530612245,49
119,5194,585,ACAN,9,11,5198.276923076923,591.4615384615385,65
121,4507,587,ACAN,8,12,4509.454545454545,592.4090909090909,44
126,4050,588,ACAN,11,6,4054.829268292683,590.5365853658536,41
128,4781,589,ACAN,10,9,4785.709677419355,593.4354838709677,62
132,4610,591,ACAN,10,8,4614.414634146341,594.5121951219512,41
139,5376,597,ACAN,12,9,5381.315068493151,600.8904109589041,73
140,5723,597,ACAN,9,12,5726.44,602.1466666666666,75
146,4129,599,ACAN,9,7,4133.217391304348,601.9130434782609,46
147,5812,599,ACAN,11,4,5817.1,600.8,20
151,2952,600,ACAN,8,8,2955.6666666666665,603.8461538461538,39
153,4621,600,ACAN,11,10,4625.105263157895,605.3508771929825,57
163,5212,607,ACAN,8,4,5215.538461538462,608.4615384615385,13
164,2968,608,ACAN,7,11,2970.8076923076924,612.7692307692307,26
167,3704,610,ACAN,5,3,3706.090909090909,611.3636363636364,11
168,4718,610,ACAN,6,6,4720.517241379311,612.7586206896551,29
169,5667,611,ACAN,14,14,5673.491935483871,619.1935483870968,124
178,5758,617,ACAN,10,7,5762.571428571428,619.795918367347,49
181,4380,618,ACAN,10,10,4384.541666666667,621.6527777777778,72
184,2763,623,ACAN,11,12,2766.6666666666665,629.16,75
187,4364,622,ACAN,8,4,4367.0625,623.5625,16
193,4357,625,ACAN,7,5,4359.642857142857,627.0714285714286,14
195,3064,626,ACAN,8,9,3066.875,630.2916666666666,24
196,4365,627,ACAN,5,7,4367.111111111111,630.0,18
197,5384,626,ACAN,7,5,5386.578947368421,628.3157894736842,19
202,5066,629,ACAN,10,8,5070.6,633.0571428571428,35
209,4358,634,ACAN,7,5,4361.294117647059,635.1764705882352,17
210,5960,634,ACAN,11,10,5964.0,639.6379310344828,58
212,5653,636,ACAN,8,8,5657.0526315789475,639.3947368421053,38
216,3943,642,ACAN,7,6,3947.0714285714284,645.5,14
222,2200,657,ACAN,4,8,2200.9444444444443,660.7777777777778,18
226,5143,657,ACAN,8,7,5145.966666666666,660.3333333333334,30
227,5510,656,ACAN,7,6,5513.08,658.4,25
231,5159,659,ACAN,8,9,5162.955555555555,662.3555555555556,45
239,2096,668,ACAN,10,5,2099.6428571428573,670.0714285714286,28
246,2295,672,ACAN,11,9,2298.8,676.4857142857143,35
252,4510,674,ACAN,11,4,4514.6875,675.75,16
256,4090,677,ACAN,9,10,4093.7555555555555,681.7111111111111,45
258,5512,676,ACAN,4,6,5513.705882352941,678.2352941176471,17
259,4103,678,ACAN,14,20,4109.4689655172415,686.8206896551724,145
265,5043,686,ACAN,8,14,5046.771428571428,692.4285714285714,70
266,2968,688,ACAN,7,12,2970.9032258064517,693.2741935483871,62
267,5848,689,ACAN,11,12,5852.884615384615,694.8461538461538,78
271,4140,693,ACAN,10,13,4145.050632911392,699.2405063291139,79
273,4222,693,ACAN,9,11,4226.28,698.62,50
274,2804,694,ACAN,20,12,2814.3548387096776,699.6967741935484,155
275,2838,694,ACAN,9,7,2841.76,697.4,25
280,4639,696,ACAN,15,24,4645.955,706.885,200
281,5843,696,ACAN,4,4,5844.454545454545,697.6363636363636,11
284,4097,699,ACAN,6,6,4099.5,701.95,20
287,5486,700,ACAN,10,10,5491.30303030303,704.0151515151515,66
288,5946,701,ACAN,6,9,5948.461538461538,704.6538461538462,26
293,4211,702,ACAN,7,6,4214.142857142857,704.5238095238095,21
