Cellid,x,y,gene,W,H,cX,cY,Aera
4,2441,43,CHAD,7,7,2444.0,46.16216216216216,37
6,1465,44,CHAD,5,7,1466.7692307692307,47.61538461538461,26
9,222,61,CHAD,5,3,224.6,62.3,10
10,3061,61,CHAD,9,9,3064.8653846153848,64.65384615384616,52
11,5203,61,CHAD,5,5,5204.923076923077,62.76923076923077,13
13,1691,66,CHAD,5,8,1693.225806451613,69.70967741935483,31
15,766,83,CHAD,5,5,768.0526315789474,84.94736842105263,19
22,498,96,CHAD,7,7,501.3333333333333,98.6969696969697,33
23,4441,98,CHAD,9,7,4444.277777777777,100.97222222222223,36
24,2220,103,CHAD,5,5,2221.764705882353,105.47058823529412,17
25,4323,106,CHAD,4,5,4324.636363636364,108.0909090909091,11
29,3216,120,CHAD,11,14,3219.4745762711864,126.38983050847457,59
33,1027,133,CHAD,10,10,1031.44776119403,137.52238805970148,67
35,2635,135,CHAD,14,15,2641.4565217391305,142.41304347826087,138
38,1937,149,CHAD,7,9,1940.2222222222222,153.11111111111111,45
41,3379,157,CHAD,10,10,3383.734375,161.265625,64
44,1296,175,CHAD,7,9,1298.780487804878,179.14634146341464,41
46,2370,187,CHAD,8,7,2373.095238095238,189.78571428571428,42
47,3091,194,CHAD,9,6,3094.2727272727275,196.6818181818182,22
51,2884,196,CHAD,7,6,2886.6153846153848,198.26923076923077,26
56,4561,222,CHAD,4,4,4562.272727272727,223.1818181818182,11
57,1506,225,CHAD,6,8,1508.258064516129,229.1290322580645,31
58,3233,229,CHAD,5,5,3234.6875,231.3125,16
59,4415,229,CHAD,5,7,4417.263157894737,232.3684210526316,19
62,3557,239,CHAD,8,9,3560.6140350877195,242.68421052631578,57
64,2109,249,CHAD,6,8,2111.909090909091,252.87878787878788,33
65,1744,253,CHAD,5,7,1745.952380952381,256.0952380952381,21
66,817,257,CHAD,5,7,819.0833333333334,260.25,24
68,538,263,CHAD,9,9,541.8636363636364,267.20454545454544,44
70,4226,266,CHAD,8,8,4229.243902439024,269.7317073170732,41
75,3105,300,CHAD,5,6,3107.0,302.2916666666667,24
77,2429,304,CHAD,6,6,2431.1923076923076,306.7692307692308,26
81,2275,308,CHAD,5,4,2277.3529411764707,309.52941176470586,17
83,1118,311,CHAD,8,10,1121.388888888889,315.9259259259259,54
91,1932,336,CHAD,6,7,1934.53125,338.9375,32
94,4507,339,CHAD,5,6,4509.058823529412,341.8235294117647,17
96,2731,343,CHAD,12,13,2736.6822429906542,348.803738317757,107
113,2372,366,CHAD,12,13,2376.8289473684213,372.9078947368421,76
117,1329,371,CHAD,8,9,1332.857142857143,375.5238095238095,42
119,4308,370,CHAD,10,13,4312.293103448276,376.13793103448273,58
127,3371,376,CHAD,6,6,3373.3571428571427,378.4642857142857,28
160,1554,400,CHAD,6,7,1556.892857142857,403.10714285714283,28
161,2138,400,CHAD,5,6,2139.875,402.6666666666667,24
162,2982,400,CHAD,5,5,2983.809523809524,402.14285714285717,21
168,4052,406,CHAD,4,6,4053.9166666666665,408.5833333333333,12
173,3539,415,CHAD,8,9,3542.3653846153848,418.9423076923077,52
191,4867,422,CHAD,17,10,4874.777777777777,427.0987654320988,81
217,753,444,CHAD,7,8,756.1714285714286,447.2,35
220,5319,449,CHAD,6,5,5321.7,451.1,20
226,2542,456,CHAD,9,8,2546.377358490566,459.50943396226415,53
237,4275,463,CHAD,6,5,4277.466666666666,465.1333333333333,15
247,5113,466,CHAD,4,6,5114.083333333333,468.6666666666667,12
258,3981,481,CHAD,6,5,3983.4545454545455,482.90909090909093,11
259,245,482,CHAD,11,12,250.35294117647058,487.18823529411765,85
276,3686,490,CHAD,4,5,3687.5625,491.75,16
277,4485,490,CHAD,11,9,4488.945454545455,494.1454545454545,55
279,1956,492,CHAD,5,6,1958.25,494.75,20
293,5272,502,CHAD,8,10,5275.926829268293,506.219512195122,41
296,3402,504,CHAD,5,8,3404.185185185185,507.77777777777777,27
301,4235,506,CHAD,5,8,4236.95652173913,509.69565217391306,23
303,4489,506,CHAD,6,6,4491.75,508.5,16
310,4655,512,CHAD,4,7,4656.363636363636,515.0909090909091,11
318,3370,517,CHAD,10,10,3374.0588235294117,521.6029411764706,68
328,3520,524,CHAD,13,15,3526.814432989691,529.7731958762887,97
331,646,526,CHAD,5,10,648.08,531.16,25
336,3634,528,CHAD,15,10,3642.3012048192772,531.5180722891566,83
343,2152,534,CHAD,6,6,2154.269230769231,536.3076923076923,26
356,4907,542,CHAD,9,12,4910.925373134329,547.8507462686567,67
362,3222,545,CHAD,5,4,3223.909090909091,546.4545454545455,11
369,5691,547,CHAD,16,22,5698.094594594595,556.3558558558559,222
370,5885,547,CHAD,6,7,5887.548387096775,549.9032258064516,31
372,1135,549,CHAD,8,10,1138.3111111111111,553.3777777777777,45
382,2421,552,CHAD,6,6,2423.4615384615386,554.5,26
383,4921,552,CHAD,8,9,4924.302325581395,555.8139534883721,43
385,5783,552,CHAD,23,24,5793.490250696379,562.841225626741,359
390,4520,555,CHAD,22,22,4530.733333333334,565.1587301587301,315
391,5482,555,CHAD,15,18,5488.189944134078,563.6033519553073,179
395,3415,556,CHAD,7,5,3417.866666666667,557.8666666666667,15
398,5937,556,CHAD,15,17,5943.94696969697,564.0454545454545,132
403,3532,558,CHAD,5,6,3534.3333333333335,560.2083333333334,24
404,4346,559,CHAD,16,23,4354.011695906433,569.2573099415205,171
406,1505,561,CHAD,5,4,1506.909090909091,562.3636363636364,11
408,240,563,CHAD,4,6,241.4,565.8,15
411,3904,562,CHAD,12,12,3909.014492753623,566.8840579710145,69
412,5810,562,CHAD,15,14,5818.038167938931,569.1297709923664,131
420,426,567,CHAD,5,5,428.0,569.0,17
424,5870,567,CHAD,10,8,5874.511111111111,570.2444444444444,45
427,4328,570,CHAD,13,17,4334.786324786325,576.7777777777778,117
432,1128,577,CHAD,5,5,1129.6666666666667,578.5333333333333,15
438,4501,579,CHAD,16,18,4508.678733031674,587.2262443438914,221
440,4047,581,CHAD,13,13,4053.4214876033056,586.7190082644628,121
442,5184,581,CHAD,15,13,5192.714285714285,587.4642857142857,112
451,5729,583,CHAD,11,6,5733.315789473684,585.9473684210526,38
457,4775,584,CHAD,15,12,4782.2991452991455,589.2393162393163,117
459,4123,587,CHAD,18,19,4131.753191489362,596.0127659574468,235
462,4605,586,CHAD,13,11,4611.454545454545,590.5227272727273,88
465,5807,586,CHAD,16,14,5815.111111111111,592.7708333333334,144
468,5356,589,CHAD,34,19,5373.736585365854,597.5487804878048,410
469,5720,589,CHAD,9,16,5724.084112149532,596.6168224299065,107
488,4562,595,CHAD,4,5,4563.909090909091,596.5454545454545,11
497,4615,596,CHAD,17,16,4623.0526315789475,603.9473684210526,190
499,901,599,CHAD,5,5,903.0,601.0,15
500,1574,598,CHAD,6,7,1576.2222222222222,601.1851851851852,27
516,3266,602,CHAD,7,7,3268.9,604.9333333333333,30
518,5208,603,CHAD,9,6,5211.84375,605.40625,32
529,5662,604,CHAD,17,20,5669.791505791506,614.023166023166,259
531,2953,606,CHAD,7,10,2956.44,610.64,25
535,4716,607,CHAD,5,6,4718.083333333333,609.5833333333334,12
537,5753,606,CHAD,14,16,5759.447204968944,613.6521739130435,161
541,3701,608,CHAD,5,3,3703.2727272727275,609.0,11
543,4897,609,CHAD,10,10,4901.407407407408,613.5185185185185,54
549,3707,610,CHAD,3,9,3708.1875,613.875,16
