Cellid,x,y,gene,W,H,cX,cY,Aera
1,5896,2,CHI3L2,7,7,5898.888888888889,5.518518518518518,27
10,5956,31,CHI3L2,9,7,5959.941176470588,34.0,34
12,1467,43,CHI3L2,7,9,1469.5882352941176,47.11764705882353,34
22,3062,61,CHI3L2,6,7,3064.6153846153848,64.26923076923077,26
24,1693,65,CHI3L2,8,9,1696.1136363636363,69.13636363636364,44
65,5715,84,CHI3L2,6,5,5717.190476190476,85.95238095238095,21
90,498,94,CHI3L2,6,6,500.9047619047619,96.57142857142857,21
124,2221,103,CHI3L2,4,4,2222.8,104.1,10
179,1799,114,CHI3L2,4,8,1800.75,118.08333333333333,12
195,4971,116,CHI3L2,4,6,4972.823529411765,118.41176470588235,17
215,4762,119,CHI3L2,8,8,4765.883720930233,122.6046511627907,43
235,1794,122,CHI3L2,5,7,1795.8666666666666,124.93333333333334,15
240,5180,122,CHI3L2,4,5,5181.5,124.42857142857143,14
298,1808,134,CHI3L2,8,3,1811.2,135.2,10
301,2635,135,CHI3L2,11,11,2640.59649122807,140.35087719298247,57
358,1938,148,CHI3L2,7,7,1941.111111111111,150.92592592592592,27
368,5375,151,CHI3L2,5,5,5377.357142857143,153.42857142857142,14
419,5914,178,CHI3L2,16,14,5922.6814159292035,185.42477876106196,113
425,2370,186,CHI3L2,8,5,2372.8125,187.75,16
431,3092,192,CHI3L2,7,8,3094.529411764706,196.38235294117646,34
436,2885,196,CHI3L2,5,4,2886.846153846154,197.23076923076923,13
444,5640,210,CHI3L2,8,6,5642.928571428572,212.39285714285714,28
450,5926,220,CHI3L2,6,6,5928.421052631579,222.05263157894737,19
451,1509,224,CHI3L2,6,9,1511.3103448275863,228.41379310344828,29
454,5907,226,CHI3L2,9,6,5911.04,228.52,25
460,3233,229,CHI3L2,4,4,3234.2,230.9,10
471,2110,248,CHI3L2,6,6,2112.809523809524,250.1904761904762,21
473,1746,252,CHI3L2,6,8,1748.48,255.44,25
476,817,257,CHI3L2,4,5,818.2857142857143,259.2142857142857,14
478,541,263,CHI3L2,5,4,542.9333333333333,264.8666666666667,15
481,4059,288,CHI3L2,4,6,4060.8,290.46666666666664,15
485,3106,300,CHI3L2,4,5,3107.090909090909,302.1818181818182,11
487,3527,304,CHI3L2,5,6,3528.909090909091,306.0,11
488,2276,306,CHI3L2,5,4,2278.076923076923,307.61538461538464,13
492,4892,319,CHI3L2,9,8,4896.111111111111,322.02222222222224,45
493,3884,320,CHI3L2,4,4,3885.181818181818,321.54545454545456,11
494,5588,321,CHI3L2,5,4,5590.416666666667,322.5833333333333,12
509,1932,334,CHI3L2,4,5,1933.8181818181818,336.0,11
513,4413,334,CHI3L2,14,11,4419.185185185185,339.037037037037,81
530,4463,339,CHI3L2,9,12,4466.903614457831,344.87951807228916,83
546,2732,342,CHI3L2,10,8,2735.967741935484,345.51612903225805,31
602,4189,352,CHI3L2,14,14,4195.526717557252,359.1832061068702,131
641,4466,358,CHI3L2,11,13,4471.053333333333,364.2133333333333,75
679,4624,363,CHI3L2,18,18,4631.873786407767,371.92233009708735,206
680,4671,362,CHI3L2,5,6,4673.25,364.4583333333333,24
704,4130,365,CHI3L2,6,10,4132.5,368.9761904761905,42
733,4158,368,CHI3L2,18,12,4165.890625,374.5234375,128
751,4565,370,CHI3L2,13,20,4570.806201550387,378.0387596899225,129
767,3769,373,CHI3L2,14,12,3776.2073170731705,377.9268292682927,82
768,3797,372,CHI3L2,6,7,3799.1666666666665,375.2,30
769,3951,373,CHI3L2,39,37,3970.2184024266935,391.69261880687566,989
802,3692,376,CHI3L2,4,5,3693.5833333333335,378.4166666666667,12
803,3694,376,CHI3L2,27,17,3705.9756097560976,384.45853658536583,205
830,5225,378,CHI3L2,6,5,5227.5,379.85714285714283,14
843,5808,378,CHI3L2,5,6,5809.461538461538,381.0769230769231,13
852,5936,378,CHI3L2,7,6,5938.833333333333,380.2083333333333,24
870,5809,381,CHI3L2,35,30,5825.996282527881,395.58550185873605,538
902,5674,384,CHI3L2,34,22,5691.453237410072,394.537170263789,417
917,5224,386,CHI3L2,14,15,5231.321739130435,393.7913043478261,115
972,4097,393,CHI3L2,7,11,4100.35294117647,397.97058823529414,34
988,5892,392,CHI3L2,5,6,5893.6,394.93333333333334,15
995,4009,395,CHI3L2,6,7,4010.9473684210525,397.5263157894737,19
1005,5715,394,CHI3L2,13,9,5720.918367346939,398.0816326530612,49
1016,1554,397,CHI3L2,9,9,1558.851851851852,400.962962962963,27
1020,4013,396,CHI3L2,7,12,4016.609756097561,401.7560975609756,41
1035,5791,396,CHI3L2,11,15,5796.458333333333,402.8611111111111,72
1042,2138,399,CHI3L2,6,5,2140.8125,400.5625,16
1046,4094,398,CHI3L2,5,7,4096.076923076923,400.61538461538464,13
1063,2982,400,CHI3L2,4,5,2983.923076923077,401.6923076923077,13
1068,5601,401,CHI3L2,5,9,5602.611111111111,404.6111111111111,18
1106,4957,404,CHI3L2,4,6,4958.666666666667,407.1666666666667,12
1125,3118,407,CHI3L2,7,11,3121.8275862068967,410.9655172413793,29
1127,3916,407,CHI3L2,14,13,3922.2869565217393,413.1304347826087,115
1151,4100,409,CHI3L2,17,18,4107.4685714285715,417.45714285714286,175
1194,4140,412,CHI3L2,4,6,4141.363636363636,414.0,11
1195,4860,413,CHI3L2,30,28,4874.52657807309,426.77408637873754,602
1213,3097,414,CHI3L2,8,8,3100.5945945945946,417.4054054054054,37
1215,3195,415,CHI3L2,7,5,3198.72,417.4,25
1216,3298,414,CHI3L2,6,5,3300.5454545454545,416.09090909090907,22
1277,3999,420,CHI3L2,4,5,4000.3076923076924,422.15384615384613,13
1278,4143,421,CHI3L2,4,4,4144.5,422.5,12
1279,4958,420,CHI3L2,14,17,4964.541401273886,428.9490445859873,157
1297,3706,423,CHI3L2,14,18,3712.85,432.025,160
1348,3040,429,CHI3L2,31,26,3054.7486535008975,441.66427289048477,557
