Cellid,x,y,gene,W,H,cX,cY,Aera
1958,1467,46,CILP,6,10,1469.3809523809523,50.19047619047619,21
2000,2445,46,CILP,7,7,2447.88,49.56,25
2614,223,61,CILP,10,8,226.4047619047619,63.5,42
3173,1696,70,CILP,4,6,1697.7333333333333,72.8,15
3400,1692,75,CILP,6,6,1694.0,77.46153846153847,13
3980,767,84,CILP,9,13,770.5370370370371,89.27777777777777,54
4020,1771,85,CILP,6,5,1773.3333333333333,87.41666666666667,12
4427,3445,91,CILP,5,7,3447.1363636363635,93.86363636363636,22
4471,499,93,CILP,14,15,504.6707317073171,98.57317073170732,82
5445,2222,107,CILP,6,4,2224.285714285714,108.78571428571429,14
5464,4326,106,CILP,6,6,4328.428571428572,108.21428571428571,14
5548,1795,108,CILP,6,6,1797.4166666666667,109.75,12
5549,1799,109,CILP,7,9,1801.857142857143,112.9047619047619,21
5738,200,113,CILP,6,6,201.8125,115.4375,16
5953,1818,115,CILP,6,10,1821.0869565217392,119.30434782608695,23
6138,4746,117,CILP,4,4,4747.3,118.5,10
6382,3215,121,CILP,16,19,3222.1496598639455,129.74149659863946,147
6797,5182,126,CILP,6,6,5184.421052631579,128.47368421052633,19
7120,1030,133,CILP,13,7,1036.4166666666667,135.30555555555554,36
7987,1032,145,CILP,10,4,1036.9411764705883,146.52941176470588,17
8059,2643,144,CILP,5,5,2644.866666666667,145.86666666666667,15
9751,310,170,CILP,5,5,312.3529411764706,172.41176470588235,17
10111,3915,175,CILP,7,6,3917.785714285714,177.07142857142858,14
10608,1299,182,CILP,7,5,1302.5384615384614,183.30769230769232,13
10986,1297,189,CILP,7,3,1300.3,190.3,10
11041,2373,189,CILP,7,6,2376.037037037037,191.8148148148148,27
11045,3770,189,CILP,6,5,3771.9,190.5,10
11081,5922,189,CILP,11,12,5926.6984126984125,193.44444444444446,63
11296,3090,192,CILP,11,12,3094.3846153846152,198.36923076923077,65
11329,5938,193,CILP,4,7,5939.578947368421,196.31578947368422,19
11456,328,197,CILP,9,8,331.8611111111111,199.52777777777777,36
11960,5917,202,CILP,25,24,5928.78164556962,214.29113924050634,316
13380,4561,224,CILP,6,5,4563.384615384615,225.69230769230768,13
13450,1506,226,CILP,7,13,1508.8,231.2,35
13481,1896,226,CILP,4,7,1897.611111111111,229.22222222222223,18
13539,5928,226,CILP,5,5,5930.0,228.06666666666666,15
13651,4417,228,CILP,6,10,4419.0,232.5,22
13806,5935,231,CILP,4,5,5936.692307692308,233.30769230769232,13
14499,5931,241,CILP,5,4,5933.0,242.625,16
14994,3057,248,CILP,6,4,3059.4285714285716,249.35714285714286,14
15128,2109,251,CILP,8,6,2113.1176470588234,252.94117647058823,17
15376,1742,255,CILP,8,10,1745.5151515151515,259.27272727272725,33
15472,815,256,CILP,12,13,819.3272727272728,261.4727272727273,55
15695,535,261,CILP,20,16,543.9268292682926,267.8617886178862,123
15785,3253,261,CILP,4,5,3254.5625,263.25,16
16063,4225,265,CILP,7,9,4228.7037037037035,268.18518518518516,27
16334,4191,269,CILP,5,8,4193.0,271.9375,16
16335,4197,268,CILP,9,7,4201.217391304348,270.7826086956522,23
16338,4217,268,CILP,7,9,4220.0,271.5,30
16594,4314,273,CILP,5,3,4316.4,273.8,10
17592,26,291,CILP,12,9,30.977272727272727,294.29545454545456,44
17694,4057,290,CILP,5,4,4059.090909090909,291.6363636363636,11
18207,189,301,CILP,11,9,194.3111111111111,304.1111111111111,45
18686,2430,306,CILP,7,6,2432.782608695652,308.7826086956522,23
18887,1118,310,CILP,13,10,1123.8461538461538,314.11538461538464,52
18925,2274,311,CILP,9,3,2277.3888888888887,311.94444444444446,18
19058,3869,313,CILP,5,4,3871.090909090909,314.72727272727275,11
20218,2831,333,CILP,11,9,2835.8333333333335,337.01851851851853,54
20309,1935,335,CILP,4,4,1936.0,336.8,10
20352,4412,335,CILP,14,17,4418.177570093458,341.61682242990656,107
20438,3054,337,CILP,6,6,3055.909090909091,339.5,22
20692,4506,341,CILP,6,7,4508.263157894737,343.2105263157895,19
20808,4426,343,CILP,46,14,4448.830578512397,349.6363636363636,242
20920,3951,345,CILP,8,7,3955.3636363636365,348.3333333333333,33
21033,2733,347,CILP,8,9,2737.225,351.5,40
21068,4476,346,CILP,16,6,4484.166666666667,348.97222222222223,36
21535,3917,355,CILP,8,7,3920.575,358.35,40
21928,4177,360,CILP,12,12,4182.634615384615,366.9230769230769,52
21947,4465,360,CILP,10,11,4468.851063829788,365.59574468085106,47
22160,4190,365,CILP,5,6,4191.8,368.0,10
22196,450,367,CILP,10,9,453.93023255813955,370.25581395348837,43
22268,2373,367,CILP,12,12,2379.125,373.0113636363636,88
22272,2519,366,CILP,8,8,2522.8571428571427,369.39285714285717,28
22562,1331,373,CILP,10,12,1335.1521739130435,377.0652173913044,46
22742,3713,374,CILP,55,18,3739.6047516198705,381.5745140388769,463
22748,3798,374,CILP,5,5,3800.25,376.1666666666667,12
22777,4559,375,CILP,18,20,4567.005263157895,384.9157894736842,190
22780,4629,375,CILP,7,3,4631.7,376.4,10
22783,4963,375,CILP,5,3,4965.1,376.3,10
22853,3412,376,CILP,4,4,3413.6363636363635,377.09090909090907,11
23010,5223,379,CILP,11,8,5228.176470588235,382.6862745098039,51
23632,3709,391,CILP,5,4,3711.3,392.7,10
23671,5691,390,CILP,13,12,5696.225352112676,394.3943661971831,71
23777,5226,393,CILP,9,10,5230.408163265306,397.7551020408163,49
23850,3959,394,CILP,13,8,3965.0862068965516,397.58620689655174,58
23889,4948,394,CILP,5,6,4949.65,396.1,20
23895,5823,394,CILP,7,9,5825.807692307692,397.84615384615387,26
24011,5680,396,CILP,9,9,5684.666666666667,399.3611111111111,36
24056,1553,399,CILP,9,10,1556.3235294117646,402.2352941176471,34
24058,1562,399,CILP,3,10,1563.3636363636363,403.72727272727275,11
24089,3988,399,CILP,5,6,3989.769230769231,401.15384615384613,13
24090,3994,398,CILP,8,4,3996.8333333333335,399.5833333333333,12
24136,5892,398,CILP,4,5,5893.533333333334,400.26666666666665,15
24187,2137,401,CILP,6,4,2139.785714285714,402.42857142857144,14
24314,4052,402,CILP,5,11,4054.2631578947367,407.6842105263158,19
24316,4056,403,CILP,45,23,4075.6016483516482,416.59615384615387,364
24351,5601,402,CILP,7,8,5603.538461538462,404.38461538461536,26
24490,939,407,CILP,11,6,944.3214285714286,408.75,28
24573,4957,407,CILP,6,5,4959.538461538462,408.38461538461536,13
24776,3117,410,CILP,6,5,3119.0,411.55555555555554,18
24934,4858,412,CILP,32,31,4873.551546391753,427.5549828178694,582
24962,949,415,CILP,5,6,950.75,417.3125,16
25142,4026,416,CILP,6,7,4028.3684210526317,419.05263157894734,19
25143,4032,416,CILP,6,7,4034.285714285714,418.42857142857144,21
25271,291,420,CILP,12,9,296.2325581395349,423.4651162790698,43
25457,4037,422,CILP,7,4,4039.4,423.8,10
25579,4954,424,CILP,18,18,4962.712707182321,432.77348066298345,181
25584,4,426,CILP,11,9,8.757575757575758,429.42424242424244,33
25852,3708,430,CILP,13,11,3713.6710526315787,435.9736842105263,76
25860,4031,431,CILP,7,5,4034.230769230769,432.53846153846155,13
26055,3904,434,CILP,17,18,3910.86875,442.4625,160
26086,4738,435,CILP,5,5,4740.357142857143,437.07142857142856,14
26136,2307,436,CILP,6,4,2309.5833333333335,437.5833333333333,12
26375,5080,441,CILP,4,11,5081.347826086957,446.1304347826087,23
26388,751,443,CILP,13,16,756.0232558139535,449.22093023255815,86
26425,2958,443,CILP,5,7,2959.846153846154,446.61538461538464,13
26458,4329,443,CILP,5,5,4330.95,445.25,20
26470,5437,443,CILP,10,4,5441.238095238095,444.2857142857143,21
26511,2990,444,CILP,51,11,3015.017937219731,447.5919282511211,223
26513,3040,445,CILP,5,5,3042.3,447.0,10
26516,3234,445,CILP,11,5,3238.923076923077,446.8076923076923,26
26544,5370,444,CILP,5,4,5371.571428571428,445.7142857142857,14
26710,5311,449,CILP,6,4,5313.7,450.4,10
26712,5318,449,CILP,10,11,5322.453333333333,453.84,75
26774,3242,451,CILP,12,7,3246.1458333333335,453.8541666666667,48
26776,3661,450,CILP,18,20,3669.2549019607845,459.12745098039215,204
27032,4005,456,CILP,13,10,4010.8356164383563,460.4109589041096,73
27037,4271,457,CILP,15,15,4278.595588235294,464.58088235294116,136
27102,2544,459,CILP,7,6,2546.9583333333335,461.6666666666667,24
27126,5328,458,CILP,5,6,5329.9047619047615,460.04761904761904,21
27255,4221,462,CILP,6,8,4223.181818181818,466.0,22
27268,5104,463,CILP,16,11,5111.921052631579,468.9122807017544,114
27322,5580,465,CILP,21,17,5589.6466666666665,472.99333333333334,150
27416,3573,469,CILP,18,16,3580.6275862068965,477.048275862069,145
27453,3666,470,CILP,4,5,3667.25,471.4166666666667,12
27456,4230,470,CILP,6,3,4232.285714285715,471.07142857142856,14
27468,2839,472,CILP,8,6,2842.095238095238,475.1904761904762,21
27474,3971,473,CILP,28,24,3984.5073529411766,484.24754901960785,408
27480,5704,472,CILP,9,7,5708.1875,475.46875,32
27494,234,477,CILP,38,32,252.25688073394497,491.8519003931848,763
27498,3703,476,CILP,5,4,3705.0833333333335,478.0,12
27517,4623,480,CILP,38,22,4641.71198568873,490.4490161001789,559
27525,3298,482,CILP,17,20,3306.6433566433566,490.15384615384613,143
27531,1749,485,CILP,6,4,1751.5,486.44444444444446,18
27532,1836,485,CILP,12,4,1841.391304347826,486.69565217391306,23
27536,3116,485,CILP,10,9,3120.8863636363635,489.97727272727275,44
27555,4485,490,CILP,16,34,4492.29104477612,506.4440298507463,268
27569,4423,492,CILP,19,16,4433.148148148148,499.0987654320988,162
27574,1960,495,CILP,6,3,1962.2142857142858,496.14285714285717,14
27598,3688,496,CILP,5,5,3690.266666666667,497.6,15
27610,4621,496,CILP,5,7,4622.888888888889,498.8333333333333,18
27612,5271,497,CILP,23,24,5281.582608695652,508.9246376811594,345
27623,2817,499,CILP,15,18,2824.5698324022346,507.0,179
27655,2841,500,CILP,11,6,2845.9565217391305,503.0869565217391,23
27699,3397,502,CILP,20,19,3407.236714975845,510.0193236714976,207
27704,3813,502,CILP,14,52,3819.2263374485597,529.5061728395061,243
27741,2791,505,CILP,19,18,2799.327188940092,513.2764976958525,217
27758,3309,505,CILP,14,9,3316.9545454545455,509.54545454545456,44
27788,4936,505,CILP,5,4,4937.9375,506.3125,16
27791,5165,505,CILP,11,10,5169.414634146341,508.3170731707317,41
28118,4655,513,CILP,9,9,4659.472222222223,517.25,36
28160,3056,515,CILP,6,7,3058.1875,518.3125,16
28305,4792,517,CILP,6,4,4794.857142857143,518.5714285714286,14
28423,3070,521,CILP,22,17,3080.9591836734694,528.734693877551,245
28427,3376,520,CILP,6,7,3378.1052631578946,522.8421052631579,19
28429,3519,521,CILP,22,22,3529.359223300971,531.1715210355987,309
28493,5274,520,CILP,9,4,5277.642857142857,521.2142857142857,14
28507,1628,522,CILP,9,7,1631.4772727272727,524.6136363636364,44
28534,3631,523,CILP,59,30,3658.5974165769644,538.1011840688913,929
28681,646,527,CILP,9,13,649.2448979591836,532.5510204081633,49
28853,1394,530,CILP,9,8,1397.46875,533.1875,32
29008,5182,533,CILP,17,23,5189.786259541985,544.9007633587786,131
29097,5194,534,CILP,9,10,5198.363636363636,537.7954545454545,44
29109,1103,536,CILP,13,12,1110.1688311688313,542.1428571428571,77
29202,2154,538,CILP,7,4,2157.0714285714284,539.4285714285714,14
29432,4157,542,CILP,8,14,4160.75,548.925,40
29469,3056,544,CILP,20,15,3065.9102564102564,551.5705128205128,156
29474,3695,545,CILP,6,5,3697.6666666666665,546.4666666666667,15
29526,4904,544,CILP,31,23,4917.522727272727,555.4217171717172,396
29533,5688,545,CILP,24,31,5699.685436893204,559.3728155339805,515
29626,5598,547,CILP,4,5,5599.733333333334,549.3333333333334,15
29658,3427,549,CILP,6,6,3429.4285714285716,551.9285714285714,14
29760,3411,551,CILP,23,22,3421.8852459016393,562.3508196721311,305
29824,5888,550,CILP,8,6,5890.6,552.35,20
29825,5928,550,CILP,36,38,5945.675409836065,568.6120218579235,915
29834,1102,552,CILP,4,4,1103.6363636363637,553.6363636363636,11
29884,4121,552,CILP,10,9,4125.081081081081,556.3783783783783,37
29946,3897,555,CILP,29,29,3911.867237687366,569.2462526766595,467
29983,5476,555,CILP,30,29,5490.07731092437,570.2218487394958,595
29984,5507,555,CILP,6,6,5509.631578947368,557.6315789473684,19
30081,5199,556,CILP,6,8,5201.181818181818,559.8181818181819,22
30259,5866,561,CILP,28,28,5878.891344383057,575.0073664825046,543
30272,1508,562,CILP,6,5,1510.6,564.0,20
30284,3536,563,CILP,4,4,3537.6363636363635,564.2727272727273,11
30323,4122,562,CILP,4,6,4123.7,564.6,10
30359,236,565,CILP,12,12,241.68115942028984,569.1884057971015,69
30608,424,571,CILP,11,7,428.72727272727275,573.5227272727273,44
30621,2727,570,CILP,13,12,2733.434210526316,575.828947368421,76
30774,5180,573,CILP,44,42,5201.026371308017,593.0,948
30845,4038,574,CILP,38,33,4056.452807646356,589.757467144564,837
30853,4221,574,CILP,21,19,4230.702222222222,583.8444444444444,225
30887,2242,576,CILP,23,20,2252.8779527559054,586.4133858267717,254
30890,2628,577,CILP,26,27,2640.8021739130436,589.6434782608695,460
30968,2408,578,CILP,14,13,2414.1929824561403,584.3947368421053,114
31053,2454,581,CILP,34,29,2470.4200743494425,595.6635687732341,538
31096,4115,581,CILP,39,38,4134.988577362409,599.6137071651091,963
31111,5381,581,CILP,7,5,5383.388888888889,582.8333333333334,18
31140,2224,582,CILP,17,15,2231.8540145985403,589.5182481751825,137
31208,5715,582,CILP,28,33,5727.607985480944,597.7785843920145,551
31286,4778,584,CILP,19,16,4786.453201970443,591.9310344827586,203
31361,4607,586,CILP,30,34,4623.558490566038,603.2735849056604,530
31370,5351,587,CILP,46,31,5375.927738927739,601.0326340326341,858
31383,391,588,CILP,10,8,395.9148936170213,590.8936170212766,47
31493,2848,590,CILP,40,25,2867.3728813559323,602.5161787365178,649
31571,2302,592,CILP,17,16,2310.309523809524,599.4285714285714,168
31721,5644,595,CILP,7,6,5646.388888888889,596.8888888888889,18
31795,4560,596,CILP,10,10,4565.028571428571,600.5,70
31796,4706,597,CILP,30,31,4720.741518578352,612.2633279483038,619
31813,1576,599,CILP,9,7,1579.4848484848485,601.8787878787879,33
31877,4798,599,CILP,19,19,4807.392156862745,608.5147058823529,204
31897,899,601,CILP,10,9,903.1538461538462,604.9487179487179,39
32080,3271,605,CILP,4,4,3272.5833333333335,606.0833333333334,12
32082,3698,604,CILP,22,18,3708.9036144578313,612.5020080321285,249
32140,5647,605,CILP,42,44,5667.237472766885,626.5860566448802,918
32227,4894,607,CILP,20,20,4903.920152091255,616.7110266159696,263
32321,5752,609,CILP,23,20,5762.61320754717,618.6037735849056,318
32341,3221,610,CILP,10,10,3226.0877192982457,614.9298245614035,57
32371,4995,611,CILP,5,4,4997.461538461538,612.6923076923077,13
32450,5194,613,CILP,5,4,5196.153846153846,614.8461538461538,13
32484,3198,615,CILP,5,5,3200.1,616.85,20
32550,5626,614,CILP,9,9,5629.961538461538,617.7884615384615,52
32665,1815,619,CILP,9,7,1818.7931034482758,622.2758620689655,29
32671,3058,618,CILP,19,20,3066.4326530612243,627.9306122448979,245
32738,5374,618,CILP,21,18,5383.712,626.056,250
32865,3201,622,CILP,29,28,3215.0365853658536,635.9654471544716,492
32891,3934,622,CILP,32,35,3948.646322378717,641.1940532081377,639
32922,5058,622,CILP,23,22,5069.484615384616,631.2692307692307,260
