Cellid,x,y,gene,W,H,cX,cY,Aera
75,1781,0,COL3A1,6,8,1783.55,3.0,20
77,1792,0,COL3A1,6,6,1794.1538461538462,2.5384615384615383,13
215,1735,2,COL3A1,5,5,1736.7272727272727,3.8181818181818183,11
578,5896,7,COL3A1,11,9,5901.829787234043,11.53191489361702,47
876,1746,13,COL3A1,9,6,1749.9473684210527,15.210526315789474,19
944,5553,12,COL3A1,9,9,5556.756756756757,16.486486486486488,37
1136,1806,16,COL3A1,9,7,1810.0869565217392,19.0,23
1260,1758,18,COL3A1,9,5,1761.3333333333333,19.733333333333334,15
1619,2342,22,COL3A1,5,4,2343.9166666666665,23.5,12
1690,1791,24,COL3A1,7,4,1794.1818181818182,26.0,11
1693,1808,24,COL3A1,8,9,1811.655172413793,27.96551724137931,29
1896,5551,26,COL3A1,5,5,5553.25,28.083333333333332,12
2217,1820,33,COL3A1,7,5,1823.2666666666667,34.8,15
2252,2161,32,COL3A1,5,7,2163.4166666666665,35.333333333333336,12
2330,1718,34,COL3A1,5,6,1719.857142857143,36.5,14
2547,5959,37,COL3A1,9,5,5963.129032258064,38.806451612903224,31
2592,1709,38,COL3A1,9,10,1712.3636363636363,42.303030303030305,33
2697,1462,40,COL3A1,6,4,1464.7272727272727,41.45454545454545,11
2742,1786,41,COL3A1,5,7,1788.1666666666667,44.22222222222222,18
3081,2444,45,COL3A1,9,6,2448.222222222222,47.370370370370374,27
3109,1497,47,COL3A1,7,6,1500.2,49.333333333333336,15
3320,2123,49,COL3A1,5,5,2125.2,50.9,10
3552,1997,52,COL3A1,4,7,1998.4,55.2,10
3648,1480,55,COL3A1,7,6,1483.125,57.375,16
3660,1553,55,COL3A1,4,7,1554.1818181818182,58.09090909090909,11
4104,1748,61,COL3A1,4,8,1749.909090909091,64.36363636363636,11
4202,225,62,COL3A1,6,5,227.1764705882353,64.11764705882354,17
4393,1688,65,COL3A1,19,20,1697.1575342465753,74.26027397260275,146
4491,3065,65,COL3A1,7,5,3068.0,66.27777777777777,18
4695,1732,68,COL3A1,5,8,1734.2777777777778,71.27777777777777,18
4962,1621,73,COL3A1,3,9,1622.3333333333333,76.66666666666667,12
5029,2152,73,COL3A1,5,4,2154.0,74.7,10
5237,1584,77,COL3A1,4,7,1585.5,79.9,10
5309,2117,77,COL3A1,3,10,2118.3076923076924,81.61538461538461,13
5393,1728,79,COL3A1,9,6,1731.7894736842106,81.21052631578948,19
5420,2034,78,COL3A1,5,6,2036.0,80.4,10
5432,2149,78,COL3A1,4,7,2151.0,81.2,10
5471,1450,80,COL3A1,6,8,1452.5,83.27777777777777,18
5678,1661,82,COL3A1,4,7,1662.2727272727273,85.0909090909091,11
5683,1700,82,COL3A1,6,4,1702.7,83.3,10
5940,768,86,COL3A1,6,5,770.3,87.55,20
6073,5717,87,COL3A1,9,5,5721.071428571428,88.85714285714286,28
6217,5489,89,COL3A1,5,4,5490.4,90.8,10
6400,1521,92,COL3A1,5,7,1523.0,95.66666666666667,12
6409,1562,93,COL3A1,7,4,1564.0833333333333,94.58333333333333,12
6533,502,95,COL3A1,8,7,505.0,97.9,30
6840,1641,99,COL3A1,8,4,1644.4545454545455,101.0,11
6901,2136,99,COL3A1,6,5,2138.8333333333335,100.25,12
6960,1496,100,COL3A1,4,6,1496.9,102.0,10
6970,1578,100,COL3A1,6,7,1580.4285714285713,103.0,14
7143,1794,103,COL3A1,6,10,1795.904761904762,107.85714285714286,21
7295,1787,104,COL3A1,6,6,1789.9375,106.9375,16
7415,1560,107,COL3A1,6,6,1563.0,109.58333333333333,12
7554,1474,109,COL3A1,6,6,1476.8,111.86666666666666,15
7590,1748,108,COL3A1,4,7,1749.2307692307693,111.07692307692308,13
7709,1530,110,COL3A1,5,7,1531.5833333333333,112.5,12
7800,2269,110,COL3A1,6,4,2271.5,111.6,10
7896,1939,113,COL3A1,6,5,1941.5,114.7,10
8006,1631,114,COL3A1,6,5,1633.5,116.0,12
8009,1657,115,COL3A1,6,5,1659.25,116.58333333333333,12
8042,2010,115,COL3A1,5,5,2011.9,117.0,10
8381,4124,118,COL3A1,6,6,4126.411764705882,120.76470588235294,17
8541,4974,121,COL3A1,4,5,4975.2,122.86666666666666,15
8565,1501,123,COL3A1,9,7,1504.8695652173913,125.95652173913044,23
