Cellid,x,y,gene,W,H,cX,cY,Aera
3,5900,10,CRTAC1,6,5,5902.318181818182,12.136363636363637,22
5,5553,16,CRTAC1,7,3,5556.3,17.0,10
22,769,86,CRTAC1,4,5,770.0,87.7,10
31,502,97,CRTAC1,6,5,504.2857142857143,98.64285714285714,14
38,5183,127,CRTAC1,5,5,5185.111111111111,128.83333333333334,18
40,3221,132,CRTAC1,7,4,3224.0555555555557,133.11111111111111,18
46,5378,157,CRTAC1,4,4,5379.75,158.75,12
60,5922,189,CRTAC1,11,9,5926.368421052632,192.859649122807,57
61,5916,190,CRTAC1,5,5,5918.0,192.1304347826087,23
62,3092,192,CRTAC1,10,10,3095.25641025641,195.69230769230768,39
64,5939,195,CRTAC1,4,4,5940.3,196.4,10
67,2886,197,CRTAC1,4,4,2887.6,198.2,10
86,5922,206,CRTAC1,6,9,5924.0,209.27777777777777,18
89,5642,211,CRTAC1,5,8,5643.666666666667,214.11111111111111,18
97,5922,216,CRTAC1,5,4,5923.7,217.1,10
109,5928,226,CRTAC1,5,5,5930.214285714285,227.64285714285714,14
111,3233,233,CRTAC1,4,5,3234.4,234.9,10
129,817,261,CRTAC1,5,5,818.6923076923077,262.9230769230769,13
131,541,265,CRTAC1,6,5,543.4705882352941,266.3529411764706,17
136,3105,302,CRTAC1,5,6,3107.0666666666666,304.2,15
146,2834,336,CRTAC1,4,6,2835.5454545454545,338.27272727272725,11
148,4414,336,CRTAC1,13,8,4419.615384615385,339.5576923076923,52
153,4463,343,CRTAC1,10,8,4467.758620689655,346.2068965517241,29
156,3954,345,CRTAC1,5,6,3956.1176470588234,347.5882352941176,17
180,3918,356,CRTAC1,7,4,3920.909090909091,357.72727272727275,11
195,4467,362,CRTAC1,4,5,4468.272727272727,363.54545454545456,11
220,3691,372,CRTAC1,33,28,3706.163043478261,385.2644927536232,552
221,3798,373,CRTAC1,5,7,3800.3076923076924,375.84615384615387,26
225,4315,372,CRTAC1,5,4,4316.909090909091,373.0,11
228,3771,374,CRTAC1,12,13,3778.0806451612902,378.83870967741933,62
229,4569,375,CRTAC1,9,7,4573.119047619048,377.8333333333333,42
241,4561,381,CRTAC1,12,13,4567.756756756757,386.2972972972973,74
245,5224,382,CRTAC1,16,21,5231.930232558139,392.09302325581393,215
248,3959,387,CRTAC1,24,18,3969.6451612903224,394.96774193548384,217
253,5693,389,CRTAC1,12,10,5698.6,392.94545454545454,55
264,4008,395,CRTAC1,21,16,4018.0676691729323,401.4736842105263,133
273,4091,397,CRTAC1,13,13,4097.593406593406,402.35164835164835,91
292,4041,401,CRTAC1,16,21,4047.1830985915494,411.48591549295776,142
297,5600,402,CRTAC1,8,4,5603.818181818182,403.6818181818182,22
306,3109,407,CRTAC1,5,7,3110.4117647058824,410.11764705882354,17
307,3114,406,CRTAC1,14,16,3120.6,414.46060606060604,165
326,5424,413,CRTAC1,7,4,5426.529411764706,414.11764705882354,17
328,3096,415,CRTAC1,11,11,3100.987341772152,419.62025316455697,79
330,3918,414,CRTAC1,14,12,3925.5753424657532,418.45205479452056,73
342,4863,419,CRTAC1,22,17,4873.580357142857,427.42410714285717,224
357,3707,424,CRTAC1,15,19,3714.3793103448274,433.4729064039409,203
365,3437,426,CRTAC1,14,14,3443.4477611940297,431.8358208955224,67
370,4960,427,CRTAC1,7,8,4963.233333333334,430.96666666666664,30
378,5434,433,CRTAC1,8,7,5437.384615384615,435.61538461538464,26
