Cellid,x,y,gene,W,H,cX,cY,Aera
3,2337,21,PRG4,6,4,2338.9285714285716,22.714285714285715,14
10,1467,48,PRG4,5,3,1468.5833333333333,49.166666666666664,12
14,1691,69,PRG4,6,5,1694.1176470588234,71.52941176470588,17
17,5485,84,PRG4,5,5,5487.5,86.57142857142857,14
65,5928,236,PRG4,10,10,5932.272727272727,240.78181818181818,55
76,1743,256,PRG4,7,4,1745.923076923077,257.61538461538464,13
81,4314,271,PRG4,5,5,4315.923076923077,273.2307692307692,13
83,3528,305,PRG4,5,6,3529.722222222222,307.27777777777777,18
91,4396,327,PRG4,10,8,4400.714285714285,330.46938775510205,49
96,4409,332,PRG4,19,20,4418.228682170543,341.17054263565893,258
99,3050,335,PRG4,13,11,3056.222222222222,340.75308641975306,81
102,2831,336,PRG4,11,10,2835.917808219178,340.2328767123288,73
107,5827,338,PRG4,7,8,5830.185185185185,341.6666666666667,27
112,3953,344,PRG4,6,8,3955.4545454545455,347.24242424242425,33
115,4178,346,PRG4,28,25,4193.029891304348,358.24184782608694,368
122,4438,349,PRG4,7,6,4440.538461538462,351.7692307692308,26
125,4348,351,PRG4,4,4,4349.5,352.3333333333333,12
138,4464,360,PRG4,13,13,4470.333333333333,365.990990990991,111
142,4273,365,PRG4,4,4,4274.5,366.6,10
147,4623,366,PRG4,20,19,4632.726962457338,374.5733788395904,293
150,2372,369,PRG4,13,11,2377.156862745098,374.45098039215685,51
157,3707,373,PRG4,4,6,3709.0,375.5,10
159,3794,372,PRG4,10,11,3799.264705882353,376.9117647058824,68
168,3770,374,PRG4,15,13,3777.6771653543306,379.93700787401576,127
169,4313,374,PRG4,16,11,4320.53125,378.4479166666667,96
172,4961,374,PRG4,10,6,4965.111111111111,376.02222222222224,45
173,4976,374,PRG4,5,4,4977.916666666667,375.1666666666667,12
200,4568,383,PRG4,4,7,4569.0,385.73333333333335,15
202,4988,383,PRG4,5,4,4989.857142857143,384.64285714285717,14
207,3965,385,PRG4,18,16,3973.644927536232,392.45652173913044,138
210,5221,385,PRG4,19,19,5230.018867924528,394.01509433962264,265
211,5812,384,PRG4,29,27,5825.857913669065,396.74640287769785,556
225,4091,393,PRG4,18,17,4099.222222222223,400.92753623188406,207
229,5676,392,PRG4,15,14,5683.171052631579,398.95394736842104,152
237,5591,395,PRG4,24,24,5601.916010498688,407.04199475065616,381
249,4945,398,PRG4,4,5,4946.285714285715,400.07142857142856,14
258,4014,400,PRG4,6,9,4017.1724137931033,404.6551724137931,29
259,4042,400,PRG4,4,4,4043.4,401.5,10
263,3093,403,PRG4,37,26,3111.1021416803956,415.4546952224053,607
296,3919,413,PRG4,14,12,3925.912087912088,417.5274725274725,91
303,4103,414,PRG4,13,13,4108.725806451613,419.78225806451616,124
308,3428,417,PRG4,30,29,3442.5103338632753,430.9825119236884,629
310,5924,416,PRG4,5,5,5926.181818181818,418.3636363636364,11
316,4862,420,PRG4,22,20,4872.826086956522,428.7926421404682,299
327,4958,426,PRG4,13,12,4964.140186915888,431.49532710280374,107
332,4074,431,PRG4,7,7,4077.2258064516127,433.61290322580646,31
335,5432,431,PRG4,20,18,5441.241228070176,439.18859649122805,228
337,3046,433,PRG4,20,20,3056.737051792829,442.7569721115538,251
342,3907,437,PRG4,8,12,3910.7755102040815,442.6326530612245,49
352,5077,440,PRG4,6,11,5080.027777777777,445.0,36
357,2956,442,PRG4,30,16,2967.4471830985917,449.55281690140845,284
363,5307,444,PRG4,20,20,5315.5,452.96370967741933,248
368,3645,446,PRG4,37,27,3661.5162337662337,458.7029220779221,616
374,5915,449,PRG4,10,12,5919.523809523809,454.63492063492066,63
384,3592,457,PRG4,4,5,3593.9,459.4,10
392,4274,461,PRG4,9,7,4278.382352941177,464.5882352941176,34
396,2177,465,PRG4,6,6,2179.6666666666665,467.3333333333333,21
399,5580,464,PRG4,21,21,5590.01393728223,473.98606271777004,287
408,3568,468,PRG4,20,19,3578.4612546125463,477.3948339483395,271
410,1846,471,PRG4,9,4,1849.9333333333334,472.3333333333333,15
412,2840,470,PRG4,8,9,2843.8611111111113,474.80555555555554,36
422,3134,473,PRG4,16,22,3140.9473684210525,484.2,190
424,4440,473,PRG4,10,18,4444.797468354431,481.0632911392405,79
425,5703,473,PRG4,6,5,5705.833333333333,475.0833333333333,12
444,1833,480,PRG4,20,10,1842.1810344827586,484.7931034482759,116
450,5761,482,PRG4,5,6,5763.0952380952385,485.0,21
456,4483,487,PRG4,15,16,4489.581818181819,495.2969696969697,165
463,4425,491,PRG4,12,11,4430.515789473684,496.4842105263158,95
474,1838,500,PRG4,6,5,1840.3636363636363,502.09090909090907,11
479,2655,503,PRG4,8,9,2658.3695652173915,507.17391304347825,46
480,2816,503,PRG4,12,9,2821.769230769231,507.26153846153846,65
481,5272,503,PRG4,14,11,5278.523809523809,507.9047619047619,105
483,2788,504,PRG4,18,17,2796.403409090909,512.5681818181819,176
499,4788,514,PRG4,6,7,4790.545454545455,517.6818181818181,22
512,1625,522,PRG4,8,5,1628.3125,524.0625,16
513,2481,522,PRG4,24,24,2493.073563218391,533.744827586207,435
515,2526,522,PRG4,5,7,2527.5,525.0,18
531,3638,530,PRG4,6,4,3641.1428571428573,531.2142857142857,14
534,2641,533,PRG4,10,12,2645.2911392405063,538.746835443038,79
552,1097,536,PRG4,18,18,1105.8506493506493,544.2207792207793,154
564,5180,538,PRG4,13,16,5185.254716981132,546.8207547169811,106
565,5192,538,PRG4,3,11,5193.583333333333,542.75,12
574,4901,541,PRG4,20,20,4910.467576791809,550.4744027303755,293
584,1113,543,PRG4,44,34,1137.1327160493827,561.3688271604939,648
