Cellid,x,y,gene,W,H,cX,cY,Aera
2,5957,33,STC2,7,7,5959.571428571428,36.2,35
3,1465,44,STC2,7,7,1467.6470588235295,47.23529411764706,34
7,3060,61,STC2,10,9,3064.5,64.90625,64
8,5203,60,STC2,7,7,5205.481481481482,62.7037037037037,27
9,1691,66,STC2,7,8,1694.0222222222221,69.46666666666667,45
12,5715,85,STC2,5,6,5716.6875,87.8125,16
16,2220,105,STC2,4,4,2221.8,106.4,10
24,3215,120,STC2,13,15,3219.3690476190477,126.23809523809524,84
28,5179,125,STC2,4,5,5180.333333333333,127.58333333333333,12
30,1028,134,STC2,9,9,1032.25,137.40384615384616,52
31,2635,138,STC2,12,12,2641.056338028169,143.90140845070422,71
36,1938,152,STC2,6,5,1940.4,154.13333333333333,15
38,3380,161,STC2,7,5,3383.4736842105262,163.1578947368421,19
40,1296,175,STC2,7,9,1298.9,179.23333333333332,30
48,2883,196,STC2,7,6,2886.1666666666665,198.4,30
53,5640,211,STC2,5,7,5641.5,213.88888888888889,18
57,1506,224,STC2,7,9,1509.1555555555556,228.53333333333333,45
59,5908,226,STC2,9,9,5911.803921568628,230.6078431372549,51
60,3232,229,STC2,5,6,3234.095238095238,231.57142857142858,21
65,3558,243,STC2,6,4,3560.3333333333335,244.6,15
67,1744,253,STC2,7,6,1746.969696969697,255.5151515151515,33
68,2110,252,STC2,5,4,2111.777777777778,253.61111111111111,18
69,5361,258,STC2,5,5,5362.833333333333,259.75,12
79,3105,300,STC2,6,6,3107.076923076923,302.61538461538464,26
82,1118,313,STC2,9,7,1121.875,315.625,40
91,3050,335,STC2,6,9,3052.5625,339.09375,32
92,3056,334,STC2,5,7,3058.3888888888887,336.72222222222223,18
93,1933,338,STC2,4,5,1934.4166666666667,339.75,12
103,2733,348,STC2,8,9,2736.4166666666665,351.30555555555554,36
114,4308,369,STC2,15,14,4313.582524271845,375.3592233009709,103
118,1330,373,STC2,7,6,1333.0,375.77272727272725,22
129,5225,382,STC2,5,6,5226.307692307692,384.46153846153845,13
131,5229,387,STC2,6,8,5231.0,390.0,20
138,1554,399,STC2,7,8,1557.4166666666667,402.27777777777777,36
140,2981,400,STC2,6,6,2983.7916666666665,402.2083333333333,24
142,2138,402,STC2,4,4,2139.7,403.7,10
207,2817,500,STC2,6,7,2819.6451612903224,503.51612903225805,31
211,5164,505,STC2,5,8,5165.631578947368,508.05263157894734,19
220,648,527,STC2,3,9,649.1764705882352,531.0588235294117,17
226,2151,535,STC2,6,4,2154.0,537.0666666666667,15
233,5183,541,STC2,5,6,5184.857142857143,543.6428571428571,14
241,5883,547,STC2,7,7,5886.21875,549.78125,32
254,4524,560,STC2,12,8,4529.604166666667,563.1875,48
267,5379,578,STC2,4,4,5380.7,579.7,10
286,1829,601,STC2,32,38,1843.740596627756,618.7380025940337,771
298,4714,606,STC2,8,10,4717.632653061224,610.3265306122449,49
305,2688,613,STC2,6,5,2690.1666666666665,615.0,12
308,5665,613,STC2,6,8,5667.363636363636,617.2272727272727,22
312,1813,617,STC2,5,6,1814.7368421052631,619.6842105263158,19
316,5672,616,STC2,4,5,5673.7692307692305,617.9230769230769,13
324,4926,625,STC2,4,6,4927.727272727273,627.5454545454545,11
330,1426,636,STC2,4,5,1427.3636363636363,637.8181818181819,11
343,4699,659,STC2,4,8,4700.333333333333,662.4166666666666,12
349,4704,660,STC2,5,7,4706.294117647059,663.3529411764706,17
357,2939,666,STC2,8,7,2943.0,668.8717948717949,39
361,1980,668,STC2,5,5,1981.8095238095239,670.0,21
367,4375,672,STC2,5,10,4376.473684210527,676.8947368421053,19
368,4862,672,STC2,5,6,4864.090909090909,674.3636363636364,22
386,2982,690,STC2,11,13,2987.0138888888887,696.1805555555555,72
387,2993,691,STC2,5,7,2995.1111111111113,694.1111111111111,18
388,4220,690,STC2,6,11,4223.166666666667,695.625,24
412,4209,698,STC2,4,7,4210.083333333333,701.25,12
413,4644,698,STC2,6,5,4646.928571428572,699.5714285714286,14
421,5273,700,STC2,5,5,5274.8125,701.9375,16
442,3141,722,STC2,8,8,3144.26,725.22,50
472,2979,746,STC2,7,8,2982.090909090909,749.0454545454545,22
477,1661,749,STC2,4,8,1662.3157894736842,752.6315789473684,19
489,4476,758,STC2,8,7,4479.0952380952385,760.5238095238095,21
497,2802,767,STC2,6,7,2804.793103448276,769.8965517241379,29
498,5827,766,STC2,7,7,5830.368421052632,769.1578947368421,19
501,2880,771,STC2,4,5,2881.5,772.9166666666666,12
509,4437,774,STC2,6,8,4440.238095238095,777.7142857142857,21
518,4292,779,STC2,8,10,4295.45,783.2,40
527,4888,786,STC2,12,14,4893.6567164179105,792.1044776119403,67
538,5394,791,STC2,5,5,5396.0,793.0,21
565,4961,811,STC2,5,11,4962.59375,816.4375,32
569,3201,820,STC2,5,7,3203.5384615384614,822.6153846153846,13
570,3178,822,STC2,8,10,3181.206896551724,826.5172413793103,58
572,3605,822,STC2,5,6,3607.0476190476193,824.0952380952381,21
584,3730,828,STC2,10,6,3734.818181818182,830.4545454545455,22
598,4839,835,STC2,3,8,4840.0,838.7,10
611,2966,841,STC2,7,7,2968.8055555555557,843.4722222222222,36
612,2150,842,STC2,6,10,2151.837837837838,846.1891891891892,37
620,4291,846,STC2,6,9,4293.7037037037035,850.1111111111111,27
635,4779,857,STC2,9,12,4783.0641025641025,863.3076923076923,78
637,6017,857,STC2,7,9,6019.958333333333,860.1666666666666,24
644,3716,863,STC2,8,10,3720.027777777778,867.5555555555555,36
654,2188,871,STC2,4,4,2189.3636363636365,872.5454545454545,11
663,3124,876,STC2,8,6,3127.294117647059,878.3235294117648,34
669,4058,882,STC2,5,4,4060.285714285714,883.4285714285714,14
702,3881,908,STC2,7,16,3884.6349206349205,917.1587301587301,63
720,4327,916,STC2,6,11,4329.555555555556,921.2592592592592,27
723,4350,916,STC2,9,9,4354.6511627906975,921.046511627907,43
725,2055,918,STC2,4,5,2056.3571428571427,920.1428571428571,14
747,2820,933,STC2,4,5,2821.4375,935.25,16
763,5764,956,STC2,5,8,5766.411764705882,959.0,17
767,5902,959,STC2,8,6,5905.333333333333,961.2121212121212,33
791,3465,977,STC2,5,3,3466.7272727272725,978.0,11
798,4180,978,STC2,4,6,4181.384615384615,980.9230769230769,13
801,5799,979,STC2,32,32,5814.3343605547,994.6841294298921,649
802,2404,981,STC2,6,6,2405.9166666666665,982.75,12
806,156,982,STC2,4,4,157.36363636363637,983.3636363636364,11
816,657,987,STC2,6,6,659.12,989.72,25
826,2664,991,STC2,13,8,2670.3387096774195,994.5322580645161,62
850,2960,1007,STC2,7,8,2962.409090909091,1010.1363636363636,22
859,3870,1013,STC2,13,8,3876.0,1016.8771929824561,57
860,4511,1012,STC2,7,5,4513.72,1014.28,25
865,539,1019,STC2,16,12,545.9230769230769,1024.3504273504273,117
868,689,1020,STC2,5,6,690.5,1022.0,20
871,5309,1020,STC2,5,4,5310.9,1021.2,10
872,958,1023,STC2,6,6,960.75,1025.6785714285713,28
879,5678,1025,STC2,14,9,5684.946666666667,1029.0,75
880,1616,1027,STC2,6,8,1618.344827586207,1030.2758620689656,29
883,534,1029,STC2,5,5,535.8,1031.1333333333334,15
905,842,1039,STC2,12,13,848.2823529411764,1045.5058823529412,85
916,1909,1044,STC2,5,5,1910.842105263158,1046.3684210526317,19
920,5703,1045,STC2,5,5,5704.666666666667,1046.8333333333333,18
924,1249,1047,STC2,7,9,1251.6451612903227,1051.8709677419354,31
930,4480,1049,STC2,6,6,4482.5,1051.5,24
936,5681,1051,STC2,6,5,5683.555555555556,1052.7222222222222,18
958,2244,1064,STC2,10,8,2248.4,1067.3,50
981,3493,1079,STC2,4,5,3494.75,1080.9166666666667,12
993,3382,1087,STC2,10,6,3386.7567567567567,1089.3783783783783,37
1001,5117,1088,STC2,5,5,5119.2307692307695,1090.076923076923,13
1005,1658,1090,STC2,6,6,1660.2903225806451,1092.4516129032259,31
1017,1222,1094,STC2,32,32,1236.6128571428571,1109.3485714285714,700
1019,5583,1094,STC2,4,8,5584.473684210527,1098.3684210526317,19
1032,3096,1101,STC2,4,4,3097.4,1102.7,10
1046,5295,1104,STC2,6,4,5297.071428571428,1105.642857142857,14
1058,1347,1109,STC2,9,10,1351.1864406779662,1113.2372881355932,59
1059,4804,1108,STC2,8,6,4807.441176470588,1110.3235294117646,34
1061,5297,1109,STC2,6,4,5299.461538461538,1110.2307692307693,13
1069,5776,1110,STC2,7,5,5779.0526315789475,1112.1052631578948,19
1088,318,1117,STC2,5,4,320.0,1118.0833333333333,12
1101,5785,1119,STC2,6,4,5787.363636363636,1120.7272727272727,11
1113,4641,1122,STC2,6,4,4643.5,1123.2142857142858,14
1131,2152,1129,STC2,10,7,2156.5333333333333,1132.0222222222221,45
1135,5751,1129,STC2,6,6,5753.695652173913,1131.695652173913,23
1138,4644,1131,STC2,6,8,4647.1875,1133.6875,16
1143,5872,1131,STC2,6,5,5874.5,1133.125,24
1152,4636,1134,STC2,4,7,4638.125,1136.75,16
1163,4947,1140,STC2,6,6,4949.142857142857,1142.7142857142858,14
1172,2873,1145,STC2,5,10,2874.714285714286,1150.25,28
1182,823,1149,STC2,4,6,824.0833333333334,1151.6666666666667,12
1190,2008,1153,STC2,3,6,2009.0,1154.8,10
1199,4737,1157,STC2,6,8,4739.368421052632,1160.3157894736842,19
1208,4277,1159,STC2,6,4,4279.35294117647,1160.5882352941176,17
1212,1127,1160,STC2,7,6,1130.258064516129,1162.6129032258063,31
1229,638,1164,STC2,4,7,639.7272727272727,1167.0,11
1231,2004,1165,STC2,6,5,2006.142857142857,1166.904761904762,21
1238,5812,1166,STC2,8,9,5815.536585365854,1170.341463414634,41
1241,647,1169,STC2,5,7,649.0,1172.0,19
1244,2922,1168,STC2,4,8,2923.5,1171.3125,16
1252,4639,1176,STC2,5,4,4641.076923076923,1177.923076923077,13
1277,1540,1184,STC2,6,6,1542.8181818181818,1186.6363636363637,22
1283,2633,1186,STC2,12,9,2638.212121212121,1189.9848484848485,66
1287,5438,1188,STC2,12,11,5442.0,1192.3333333333333,57
1292,930,1193,STC2,5,9,931.55,1197.7,20
1301,3593,1196,STC2,6,7,3595.277777777778,1199.4444444444443,18
1314,5190,1204,STC2,6,11,5192.333333333333,1209.3703703703704,27
1317,827,1206,STC2,15,7,833.2894736842105,1208.5526315789473,38
1324,470,1213,STC2,7,6,473.3888888888889,1214.7222222222222,18
1325,1697,1213,STC2,6,5,1699.2173913043478,1215.0869565217392,23
1338,1258,1217,STC2,4,6,1259.8,1219.1333333333334,15
1339,1277,1216,STC2,8,6,1280.5757575757575,1218.4848484848485,33
1341,4571,1217,STC2,11,12,4575.869047619048,1222.4761904761904,84
1350,459,1220,STC2,5,5,460.92857142857144,1221.857142857143,14
1359,1883,1223,STC2,6,4,1885.7333333333333,1224.0666666666666,15
1367,1732,1224,STC2,7,9,1735.4166666666667,1227.6666666666667,24
1379,4467,1227,STC2,4,4,4468.363636363636,1228.1818181818182,11
1383,2411,1229,STC2,11,10,2415.768292682927,1233.2317073170732,82
1384,3446,1229,STC2,13,14,3451.8939393939395,1235.7575757575758,66
1386,4078,1230,STC2,5,4,4079.75,1231.1666666666667,12
1413,2428,1241,STC2,6,7,2430.6875,1244.5,16
1416,4465,1240,STC2,9,7,4468.25,1243.0,32
1432,5927,1245,STC2,7,6,5930.285714285715,1247.4642857142858,28
1439,765,1248,STC2,7,6,768.0588235294117,1250.235294117647,17
1443,4697,1248,STC2,11,8,4702.130434782609,1252.0434782608695,46
1447,1103,1251,STC2,4,4,1104.9,1252.2,10
1458,5568,1253,STC2,7,10,5570.666666666667,1257.5882352941176,51
1460,5843,1253,STC2,4,6,5844.333333333333,1255.0833333333333,12
1464,1230,1256,STC2,9,12,1233.695652173913,1262.2826086956522,46
1485,3550,1264,STC2,16,11,3557.841584158416,1269.09900990099,101
1489,2045,1267,STC2,6,7,2047.5,1269.8181818181818,22
1493,3089,1268,STC2,4,6,3090.6428571428573,1270.2857142857142,14
1502,3538,1271,STC2,8,9,3540.942857142857,1274.4285714285713,35
1506,2560,1277,STC2,4,5,2561.5714285714284,1279.2142857142858,14
1511,3755,1279,STC2,14,10,3762.3289473684213,1283.7236842105262,76
1518,4919,1281,STC2,5,5,4920.583333333333,1282.8333333333333,12
1526,3077,1286,STC2,12,12,3083.076923076923,1291.8846153846155,78
1529,1093,1288,STC2,5,5,1094.9411764705883,1290.1764705882354,17
1532,3858,1289,STC2,7,6,3860.5,1290.9166666666667,24
1534,4080,1288,STC2,7,4,4082.75,1288.8333333333333,12
1536,711,1290,STC2,7,6,714.0454545454545,1292.5454545454545,22
1539,2104,1290,STC2,6,7,2106.0,1292.6842105263158,19
1543,1692,1294,STC2,7,9,1695.2857142857142,1297.6190476190477,21
1549,1696,1297,STC2,16,13,1703.635593220339,1302.5169491525423,118
1555,2938,1298,STC2,10,10,2942.446808510638,1302.5531914893618,47
1558,4786,1298,STC2,11,7,4791.9473684210525,1300.7631578947369,38
1563,1169,1305,STC2,8,9,1173.4137931034484,1308.7931034482758,29
1566,1886,1304,STC2,4,5,1887.642857142857,1305.857142857143,14
1568,2953,1304,STC2,3,6,2953.7,1306.5,10
1585,2967,1309,STC2,4,5,2968.7272727272725,1311.1818181818182,11
1588,2204,1311,STC2,5,4,2206.0,1312.6666666666667,18
1613,1904,1314,STC2,3,6,1905.090909090909,1316.1818181818182,11
1642,4255,1323,STC2,9,9,4258.763157894737,1327.6842105263158,38
1643,2032,1325,STC2,6,5,2034.6538461538462,1327.0384615384614,26
1658,3455,1330,STC2,12,11,3461.1159420289855,1334.5797101449275,69
1666,3676,1333,STC2,5,8,3678.1,1336.7,20
1669,4361,1336,STC2,4,4,4362.3,1337.3,10
1673,1594,1341,STC2,7,8,1597.095238095238,1344.7619047619048,42
1680,2840,1347,STC2,5,6,2841.5,1349.9166666666667,12
1682,3547,1347,STC2,9,9,3550.974358974359,1349.871794871795,39
1684,3740,1346,STC2,4,4,3741.7,1347.8,10
1685,4215,1346,STC2,5,4,4217.090909090909,1347.6363636363637,11
1695,2713,1353,STC2,10,12,2717.3389830508477,1358.7627118644068,59
1697,3674,1352,STC2,13,16,3679.5703125,1359.796875,128
1730,515,1366,STC2,10,4,519.6666666666666,1368.111111111111,18
1737,3342,1366,STC2,7,7,3344.866666666667,1368.9,30
1755,1486,1373,STC2,12,9,1491.6811594202898,1376.7101449275362,69
1777,1248,1380,STC2,9,9,1252.075,1384.8,40
1841,2067,1414,STC2,9,13,2069.5348837209303,1418.6976744186047,43
1843,3922,1415,STC2,9,12,3926.8571428571427,1420.6734693877552,49
1848,1747,1419,STC2,7,10,1750.4,1423.28,25
1856,3937,1423,STC2,3,7,3937.75,1425.9166666666667,12
1858,3941,1423,STC2,5,4,3943.0833333333335,1424.6666666666667,12
1860,184,1425,STC2,6,5,186.64285714285714,1426.7142857142858,14
1865,110,1427,STC2,5,7,112.21052631578948,1429.8947368421052,19
1871,4005,1429,STC2,7,12,4008.5,1434.659090909091,44
1872,410,1431,STC2,4,5,411.3636363636364,1432.909090909091,11
1873,1757,1431,STC2,14,10,1763.939393939394,1435.4242424242425,66
1875,2516,1430,STC2,6,8,2518.8064516129034,1433.3548387096773,31
1887,5343,1432,STC2,4,6,5344.909090909091,1434.6363636363637,11
1891,4224,1434,STC2,10,9,4228.705882352941,1437.9607843137255,51
1908,3997,1438,STC2,3,6,3998.2,1440.0,10
1915,4047,1440,STC2,7,6,4049.75,1442.45,20
1922,2678,1445,STC2,6,5,2680.6666666666665,1446.6666666666667,15
1935,5120,1449,STC2,6,5,5122.071428571428,1451.0714285714287,14
1937,5480,1451,STC2,10,10,5484.756756756757,1455.8243243243244,74
1939,2197,1453,STC2,5,10,2198.5555555555557,1457.5185185185185,27
1940,2208,1452,STC2,4,6,2209.8125,1454.75,16
1943,3379,1454,STC2,8,7,3382.6666666666665,1457.3030303030303,33
1951,5746,1458,STC2,5,5,5747.357142857143,1460.0714285714287,14
1955,2209,1461,STC2,6,6,2211.3333333333335,1463.7407407407406,27
1959,666,1462,STC2,4,4,667.3,1463.7,10
1960,1011,1463,STC2,7,6,1013.9310344827586,1465.4137931034484,29
1964,1523,1466,STC2,5,4,1525.0588235294117,1467.235294117647,17
1967,1571,1469,STC2,4,5,1572.8333333333333,1470.9166666666667,12
1971,3200,1471,STC2,4,5,3201.5,1473.0,10
1978,4892,1472,STC2,4,5,4893.307692307692,1473.923076923077,13
1995,5018,1479,STC2,14,12,5025.6461538461535,1484.123076923077,65
2007,1033,1483,STC2,7,8,1036.0666666666666,1486.7,30
2016,5828,1485,STC2,6,5,5830.4375,1487.0,16
2018,3295,1486,STC2,18,13,3303.925925925926,1490.4814814814815,81
2020,5721,1487,STC2,8,12,5724.606060606061,1492.5151515151515,66
2028,2448,1492,STC2,11,19,2453.35,1500.8375,160
2029,2607,1492,STC2,7,10,2610.4,1495.575,40
2034,1805,1494,STC2,5,5,1807.2,1495.75,20
2042,4787,1496,STC2,7,6,4790.041666666667,1498.5,24
2052,5209,1498,STC2,8,9,5212.121212121212,1502.4545454545455,33
2054,2012,1500,STC2,12,15,2017.4661016949153,1507.3474576271187,118
2055,2125,1501,STC2,9,12,2129.68085106383,1506.1914893617022,47
2056,2427,1501,STC2,10,8,2432.0,1503.5365853658536,41
2061,1048,1502,STC2,10,10,1053.148148148148,1506.2222222222222,54
2062,2746,1503,STC2,12,9,2751.553191489362,1507.0,47
2073,1739,1506,STC2,3,6,1739.7,1508.2,10
2078,4317,1508,STC2,7,7,4320.958333333333,1511.0,24
2081,409,1513,STC2,11,10,413.1090909090909,1518.290909090909,55
2082,1740,1513,STC2,5,5,1742.2,1514.7,10
2086,449,1515,STC2,5,6,450.9166666666667,1517.75,12
2102,5229,1520,STC2,4,8,5230.777777777777,1523.0,18
2109,955,1522,STC2,8,10,957.7317073170732,1526.341463414634,41
2110,1148,1522,STC2,18,16,1157.2074074074073,1529.4814814814815,135
2112,2129,1522,STC2,19,17,2138.5112107623318,1530.9103139013453,223
2113,2981,1522,STC2,10,8,2984.767441860465,1525.3023255813953,43
2121,2082,1526,STC2,3,6,2082.6,1528.3,10
2123,2088,1526,STC2,6,7,2090.1666666666665,1528.7222222222222,18
2129,1479,1529,STC2,9,11,1482.7368421052631,1534.6491228070176,57
2142,5755,1532,STC2,6,6,5757.318181818182,1534.3181818181818,22
2148,4334,1534,STC2,8,8,4337.45,1537.325,40
2156,4414,1538,STC2,6,10,4416.212121212121,1541.6969696969697,33
2158,5335,1538,STC2,7,10,5338.117647058823,1542.4705882352941,34
2161,2199,1540,STC2,6,7,2201.6,1543.0,30
2175,1172,1546,STC2,12,9,1177.6375,1549.725,80
2178,2698,1546,STC2,9,9,2702.2203389830506,1549.7118644067796,59
2188,2367,1551,STC2,4,5,2368.153846153846,1553.076923076923,13
2196,3142,1555,STC2,11,14,3147.266055045872,1560.9357798165138,109
2203,3059,1556,STC2,10,10,3062.7758620689656,1560.2068965517242,58
2204,4089,1556,STC2,5,5,4090.75,1558.4166666666667,12
2209,1298,1561,STC2,7,8,1301.2380952380952,1564.452380952381,42
2210,1660,1563,STC2,6,5,1662.4761904761904,1565.3809523809523,21
2211,2879,1562,STC2,10,10,2883.625,1566.6666666666667,72
2216,5997,1567,STC2,4,4,5998.2,1568.3,10
2221,5837,1568,STC2,4,5,5838.416666666667,1569.8333333333333,12
2226,352,1577,STC2,5,7,353.5652173913044,1579.695652173913,23
2233,1458,1579,STC2,7,7,1461.095238095238,1581.952380952381,21
2236,2481,1578,STC2,11,6,2486.5641025641025,1580.7435897435898,39
2249,2858,1582,STC2,10,13,2863.15625,1587.734375,64
2254,1954,1585,STC2,9,11,1959.2380952380952,1590.142857142857,42
2258,4787,1585,STC2,6,8,4789.321428571428,1588.9285714285713,28
2263,1999,1587,STC2,6,5,2000.5714285714287,1588.642857142857,14
2265,2869,1586,STC2,3,8,2870.2,1589.7,10
2270,1967,1590,STC2,6,7,1969.6,1592.44,25
2272,3013,1590,STC2,6,5,3015.5333333333333,1591.7333333333333,15
2289,698,1596,STC2,4,5,699.4615384615385,1598.0,13
2290,1543,1597,STC2,12,15,1548.618320610687,1604.8473282442749,131
2300,3118,1601,STC2,10,8,3122.25,1604.425,40
2312,4439,1607,STC2,3,6,4440.2,1609.5,10
2322,2330,1608,STC2,6,14,2332.625,1614.675,40
