cellid,cellx,celly,ACAN,CHAD,CHI3L1,CHI3L2,CILP,COL1A2,COL2A1,COL3A1,CRTAC1,PRG4,STC2
Cell 0,3096.7419354838707,194.5,0,22,0,34,65,181,214,911,39,0,0
Cell 1,5937.653846153846,333.0769230769231,0,0,0,0,0,0,0,69,0,0,0
Cell 2,4419.705882352941,343.3529411764706,0,0,0,81,349,0,439,447,52,307,0
Cell 3,4195.241379310345,359.4942528735632,0,0,24,259,62,0,173,103,0,368,0
Cell 4,4630.8125,371.14285714285717,0,0,0,206,10,0,106,390,0,293,0
Cell 5,3706.29,381.47,0,0,0,217,0,0,271,0,552,10,0
Cell 6,3774.050505050505,382.54545454545456,0,0,72,82,0,0,25,207,62,195,0
Cell 7,3717.191489361702,385.78723404255317,0,0,0,0,473,0,0,580,0,0,0
Cell 8,4564.914634146341,384.9756097560976,0,0,0,129,190,89,586,0,116,15,0
Cell 9,4732.153846153846,385.96153846153845,0,0,0,0,0,25,97,46,0,0,0
Cell 10,5227.736842105263,392.39181286549706,96,0,35,129,100,456,115,0,215,265,33
Cell 11,3975.9454545454546,391.05454545454546,0,0,0,0,13,0,0,0,0,138,0
Cell 12,3966.1486486486488,392.7837837837838,0,0,451,989,58,0,217,732,217,0,0
Cell 13,5697.534246575343,397.2191780821918,0,0,17,466,107,131,84,698,55,152,0
Cell 14,5829.715789473684,399.17894736842106,0,0,0,610,26,0,446,0,0,556,0
Cell 15,4014.951219512195,402.2926829268293,0,0,331,60,12,0,252,145,133,29,0
Cell 16,4097.946666666667,400.14666666666665,0,0,639,222,0,0,428,1192,91,331,0
Cell 17,3117.074074074074,413.1296296296296,0,0,0,66,18,55,185,305,261,607,0
Cell 18,4952.045454545455,409.9431818181818,0,0,0,12,33,13,76,128,0,14,0
Cell 19,4050.9154929577467,413.2535211267606,0,12,29,0,414,0,396,329,142,0,0
Cell 20,5426.329113924051,418.56962025316454,0,0,0,0,0,72,210,0,17,0,0
Cell 21,3925.2705882352943,420.81176470588235,0,0,278,115,0,0,101,601,73,91,0
Cell 22,4875.936046511628,427.7151162790698,75,81,68,602,582,0,971,0,224,299,0
Cell 23,4968.3861386138615,428.34653465346537,44,0,0,157,181,29,0,0,40,107,0
Cell 24,3714.1013513513512,434.18243243243245,0,0,171,160,76,0,147,264,203,0,0
Cell 25,3442.861386138614,435.4950495049505,0,0,283,0,0,0,0,322,67,629,0
Cell 26,5442.226804123711,437.1958762886598,0,0,0,79,21,0,0,0,58,228,0
Cell 27,3237.7809523809524,443.1142857142857,0,0,0,0,26,0,382,337,0,0,0
Cell 28,3052.1666666666665,444.17857142857144,0,0,424,557,10,0,89,357,82,251,0
