cell,x,y,cluster,n_transcripts,density,elongation,area,avg_confidence,avg_assignment_confidence,max_cluster_frac,lifespan
CRcfe445caf-1,223.0,60.916666666666664,1,12,0.3934,6.375,30.5,0.9961,0.935,0.9166666666666666,50
CRcfe445caf-2,250.55555555555554,73.0,1,9,2.0,56.01,4.5,0.9966,0.88,0.6666666666666666,50
CRcfe445caf-3,129.6,197.2,1,25,0.1524,2.658,164.0,0.9957,0.9608,0.72,50
CRcfe445caf-4,28.38888888888889,297.1666666666667,1,18,0.1111,6.314,162.0,0.9894,0.8822,0.5,50
CRcfe445caf-5,310.8474576271187,180.67796610169492,1,59,0.04429,3.551,1332.0,0.9766,0.7617,0.6101694915254238,50
CRcfe445caf-6,580.6765498652292,105.48921832884098,2,742,0.02783,1.376,26660.0,0.9408,0.8943,0.9716981132075472,50
CRcfe445caf-7,706.7259953161592,67.42857142857143,2,427,0.02849,1.372,14990.0,0.9291,0.8229,0.9437939110070258,50
CRcfe445caf-8,293.6,422.8,1,10,0.3279,5.567,30.5,0.9959,0.906,0.8,50
CRcfe445caf-9,251.66666666666666,488.22222222222223,1,18,0.1208,1.919,149.0,0.99,0.9478,1.0,50
CRcfe445caf-10,187.33333333333334,572.2222222222222,2,9,0.1417,5.387,63.5,0.9856,0.9444,1.0,50
CRcfe445caf-11,700.2415143603133,204.66710182767625,2,766,0.0329,1.08,23280.0,0.9696,0.8588,0.9556135770234987,50
CRcfe445caf-12,569.9480286738351,267.18279569892474,2,558,0.02652,1.509,21040.0,0.9098,0.8787,0.9910394265232975,50
CRcfe445caf-13,841.032700421941,114.13291139240506,2,948,0.02888,1.619,32830.0,0.9422,0.9031,0.9662447257383966,50
CRcfe445caf-14,596.8515151515152,404.57878787878786,2,330,0.01752,2.069,18840.0,0.8181,0.8375,0.996969696969697,50
CRcfe445caf-15,704.9732142857143,330.08482142857144,2,224,0.02357,1.321,9504.0,0.8949,0.7912,0.9910714285714286,50
CRcfe445caf-16,426.90909090909093,569.6363636363636,1,22,0.1725,3.459,127.5,0.9953,0.9636,1.0,50
CRcfe445caf-17,845.7586206896551,303.58829676071053,2,957,0.027,1.579,35450.0,0.9302,0.8908,0.9644723092998955,50
CRcfe445caf-18,236.46153846153845,805.7692307692307,1,26,0.1912,2.912,136.0,0.996,0.9785,0.9615384615384616,50
CRcfe445caf-19,155.64285714285714,984.4285714285714,1,14,0.4444,9.926,31.5,0.994,0.94,0.7142857142857143,50
CRcfe445caf-20,753.3915343915344,425.04232804232805,2,189,0.01884,2.06,10030.0,0.8649,0.8185,0.9947089947089947,50
CRcfe445caf-21,398.95454545454544,751.3181818181819,1,22,0.1232,3.589,178.5,0.9947,0.9418,0.6363636363636364,50
CRcfe445caf-22,647.04,531.24,1,25,0.1393,1.489,179.5,0.9913,0.9632,1.0,50
